province,university,code,major_name,admission_zone_type,study_type,admission_type,capacity_1,capacity_2,gender,notes
آذربایجان شرقی,دانشگاه بناب,30001,مهندسی اپتیک و لیزر,کشوری,روزانه,با آزمون,30,-,هر دو,
آذربایجان شرقی,دانشگاه بناب,30002,مهندسی برق,قطبی,روزانه,با آزمون,41,-,هر دو,
آذربایجان شرقی,دانشگاه بناب,30003,مهندسی پزشکی,کشوری,روزانه,با آزمون,30,-,هر دو,
آذربایجان شرقی,دانشگاه بناب,30004,مهندسی پلیمر,کشوری,روزانه,با آزمون,30,-,هر دو,
آذربایجان شرقی,دانشگاه بناب,30005,مهندسی ساخت و تولید,کشوری,روزانه,با آزمون,27,-,هر دو,
آذربایجان شرقی,دانشگاه بناب,30006,مهندسی شیمی,کشوری,روزانه,با آزمون,30,-,هر دو,
آذربایجان شرقی,دانشگاه بناب,30007,مهندسی صنایع و سیستم ها,,روزانه,با آزمون,27,-,هر دو,
آذربایجان شرقی,دانشگاه بناب,30008,مهندسی عمران,ناحیهای,روزانه,با آزمون,35,-,هر دو,
آذربایجان شرقی,دانشگاه بناب,30009,مهندسی کامپیوتر,ناحیهای,روزانه,با آزمون,44,-,هر دو,
آذربایجان شرقی,دانشگاه بناب,30010,مهندسی معماری,ناحیهای,روزانه,با آزمون,32,-,هر دو,
آذربایجان شرقی,دانشگاه بناب,30011,مهندسی مکانیک,ناحیهای,روزانه,با آزمون,35,-,هر دو,
آذربایجان شرقی,دانشگاه بناب,30012,مهندسی و علم مواد,قطبی,روزانه,با آزمون,30,-,هر دو,
آذربایجان شرقی,دانشگاه بناب,30013,مهندسی هسته ای,,روزانه,با آزمون,- 27,-,هر دو,
آذربایجان شرقی,دانشگاه بناب,10335,ریاضیات و کاربردها,قطبی,روزانه,صرفا با سوابق تحصیلی,30,-,هر دو,
آذربایجان شرقی,دانشگاه بناب,10336,علوم کامپیوتر,کشوری,روزانه,صرفا با سوابق تحصیلی,30,-,هر دو,
آذربایجان شرقی,دانشگاه بناب,10337,مهندسی نساجی,کشوری,روزانه,صرفا با سوابق تحصیلی,29,-,هر دو,
آذربایجان شرقی,دانشگاه بناب,10338,کاردانی معماری,,روزانه,صرفا با سوابق تحصیلی,40,-,هر دو,
آذربایجان شرقی,دانشگاه بناب,10339,کاردانی معماری,,روزانه,صرفا با سوابق تحصیلی,27,-,هر دو,
آذربایجان شرقی,دانشگاه تبریز,30014,آمار,ناحیهای,روزانه,با آزمون,34,-,هر دو,
آذربایجان شرقی,دانشگاه تبریز,30015,ریاضیات و کاربردها,قطبی,روزانه,با آزمون,69,-,هر دو,
آذربایجان شرقی,دانشگاه تبریز,30016,علوم کامپیوتر,کشوری,روزانه,با آزمون,48,-,هر دو,
