chromophore,region,lag_seconds_eeg_leads_nirs,eeg_measure,nirs_measure,n_participants,fisher_mean_pearson_r,fisher_z_t,group_p,group_q_global,significant_p05
HbO,Central,0.0,entropy__mse,entropy__mse,26,-0.0102,-0.3786,7.082126e-01,9.278721e-01,NO
HbO,Central,0.0,entropy__mse,entropy__sample_entropy,26,0.0010,0.0376,9.703278e-01,9.915385e-01,NO
HbO,Central,0.0,entropy__sample_entropy,entropy__mse,26,-0.0248,-1.0743,2.929270e-01,7.713152e-01,NO
HbO,Central,0.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0077,-0.3378,7.383306e-01,9.333555e-01,NO
HbO,Central,2.0,entropy__mse,entropy__mse,26,-0.0201,-0.7304,4.719429e-01,8.364068e-01,NO
HbO,Central,2.0,entropy__mse,entropy__sample_entropy,26,-0.0092,-0.3421,7.351311e-01,9.312674e-01,NO
HbO,Central,2.0,entropy__sample_entropy,entropy__mse,26,-0.0286,-1.2397,2.266038e-01,7.265467e-01,NO
HbO,Central,2.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0112,-0.4862,6.310901e-01,9.014446e-01,NO
HbO,Central,4.0,entropy__mse,entropy__mse,26,-0.0198,-0.7424,4.647873e-01,8.307846e-01,NO
HbO,Central,4.0,entropy__mse,entropy__sample_entropy,26,-0.0079,-0.2988,7.675334e-01,9.398933e-01,NO
HbO,Central,4.0,entropy__sample_entropy,entropy__mse,26,-0.0270,-1.1210,2.729607e-01,7.595351e-01,NO
HbO,Central,4.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0090,-0.3762,7.099497e-01,9.288192e-01,NO
HbO,Central,6.0,entropy__mse,entropy__mse,26,-0.0221,-0.8592,3.984127e-01,8.129742e-01,NO
HbO,Central,6.0,entropy__mse,entropy__sample_entropy,26,-0.0118,-0.4515,6.555495e-01,9.115228e-01,NO
HbO,Central,6.0,entropy__sample_entropy,entropy__mse,26,-0.0303,-1.2800,2.122895e-01,7.215649e-01,NO
HbO,Central,6.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0151,-0.6249,5.377310e-01,8.624366e-01,NO
HbO,Central,8.0,entropy__mse,entropy__mse,26,-0.0323,-1.1421,2.642475e-01,7.527981e-01,NO
HbO,Central,8.0,entropy__mse,entropy__sample_entropy,26,-0.0215,-0.7541,4.578469e-01,8.278001e-01,NO
HbO,Central,8.0,entropy__sample_entropy,entropy__mse,26,-0.0361,-1.5156,1.421557e-01,6.934565e-01,NO
HbO,Central,8.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0220,-0.9106,3.712134e-01,8.025290e-01,NO
HbO,Frontal,0.0,entropy__mse,entropy__mse,26,-0.0282,-0.9944,3.295622e-01,7.829132e-01,NO
HbO,Frontal,0.0,entropy__mse,entropy__sample_entropy,26,-0.0263,-0.9386,3.569013e-01,7.962090e-01,NO
HbO,Frontal,0.0,entropy__sample_entropy,entropy__mse,26,-0.0213,-0.7772,4.443158e-01,8.278001e-01,NO
HbO,Frontal,0.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0220,-0.8163,4.220157e-01,8.239489e-01,NO
HbO,Frontal,2.0,entropy__mse,entropy__mse,26,-0.0351,-1.3550,1.875367e-01,7.156628e-01,NO
HbO,Frontal,2.0,entropy__mse,entropy__sample_entropy,26,-0.0349,-1.3586,1.864143e-01,7.156628e-01,NO
HbO,Frontal,2.0,entropy__sample_entropy,entropy__mse,26,-0.0263,-1.0058,3.241523e-01,7.806419e-01,NO
HbO,Frontal,2.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0286,-1.1147,2.755762e-01,7.595351e-01,NO
HbO,Frontal,4.0,entropy__mse,entropy__mse,26,-0.0266,-1.0216,3.167475e-01,7.782166e-01,NO
HbO,Frontal,4.0,entropy__mse,entropy__sample_entropy,26,-0.0258,-0.9908,3.312770e-01,7.830065e-01,NO
HbO,Frontal,4.0,entropy__sample_entropy,entropy__mse,26,-0.0181,-0.7042,4.878313e-01,8.425091e-01,NO
HbO,Frontal,4.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0194,-0.7689,4.491577e-01,8.278001e-01,NO
HbO,Frontal,6.0,entropy__mse,entropy__mse,26,-0.0339,-1.3410,1.919813e-01,7.156628e-01,NO
