chromophore,region,eeg_measure,nirs_measure,contrast,n_participants,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_q_global,significant_p05
HbO,Central,entropy__sample_entropy,entropy__sample_entropy,0_to_2,26,0.3890,4.949910e-02,0.4318,2.761488e-02,6.864961e-01,YES
HbO,Central,entropy__sample_entropy,entropy__sample_entropy,0_to_3,26,0.0681,7.410267e-01,0.0003,9.986775e-01,9.622874e-01,NO
HbO,Central,entropy__sample_entropy,entropy__sample_entropy,2_to_3,26,-0.3461,8.328561e-02,-0.2280,2.625406e-01,8.065508e-01,NO
HbO,Central,entropy__sample_entropy,entropy__mse,0_to_2,26,0.2616,1.966564e-01,0.2868,1.553992e-01,8.882456e-01,NO
HbO,Central,entropy__sample_entropy,entropy__mse,0_to_3,26,0.0443,8.298726e-01,-0.0503,8.073786e-01,9.755323e-01,NO
HbO,Central,entropy__sample_entropy,entropy__mse,2_to_3,26,-0.3716,6.156398e-02,-0.2479,2.221376e-01,7.417955e-01,NO
HbO,Central,entropy__mse,entropy__sample_entropy,0_to_2,26,0.4525,2.026758e-02,0.4496,2.121041e-02,6.188172e-01,YES
HbO,Central,entropy__mse,entropy__sample_entropy,0_to_3,26,0.1011,6.232943e-01,0.0215,9.168237e-01,9.419904e-01,NO
HbO,Central,entropy__mse,entropy__sample_entropy,2_to_3,26,-0.2458,2.261469e-01,-0.1679,4.123972e-01,9.029949e-01,NO
HbO,Central,entropy__mse,entropy__mse,0_to_2,26,0.3509,7.885452e-02,0.3197,1.114136e-01,7.924813e-01,NO
HbO,Central,entropy__mse,entropy__mse,0_to_3,26,0.0799,6.980468e-01,-0.0195,9.247221e-01,9.577693e-01,NO
HbO,Central,entropy__mse,entropy__mse,2_to_3,26,-0.2622,1.956330e-01,-0.1829,3.711341e-01,8.882456e-01,NO
HbO,Frontal,entropy__sample_entropy,entropy__sample_entropy,0_to_2,26,0.4088,3.809613e-02,0.4721,1.487884e-02,6.783381e-01,YES
HbO,Frontal,entropy__sample_entropy,entropy__sample_entropy,0_to_3,26,0.3075,1.265158e-01,0.2239,2.714565e-01,8.780519e-01,NO
HbO,Frontal,entropy__sample_entropy,entropy__sample_entropy,2_to_3,26,-0.2371,2.435939e-01,0.0858,6.768191e-01,9.136552e-01,NO
HbO,Frontal,entropy__sample_entropy,entropy__mse,0_to_2,26,0.3954,4.556638e-02,0.5015,9.045164e-03,6.792491e-01,YES
HbO,Frontal,entropy__sample_entropy,entropy__mse,0_to_3,26,0.2675,1.863948e-01,0.1720,4.008992e-01,8.882456e-01,NO
HbO,Frontal,entropy__sample_entropy,entropy__mse,2_to_3,26,-0.2448,2.281035e-01,0.0462,8.228475e-01,9.029949e-01,NO
HbO,Frontal,entropy__mse,entropy__sample_entropy,0_to_2,26,0.4300,2.834376e-02,0.4838,1.228276e-02,6.523048e-01,YES
HbO,Frontal,entropy__mse,entropy__sample_entropy,0_to_3,26,0.2732,1.769509e-01,0.1754,3.914569e-01,8.882456e-01,NO
HbO,Frontal,entropy__mse,entropy__sample_entropy,2_to_3,26,-0.2374,2.429263e-01,0.0742,7.187135e-01,9.136552e-01,NO
HbO,Frontal,entropy__mse,entropy__mse,0_to_2,26,0.4145,3.524204e-02,0.5097,7.811428e-03,6.752638e-01,YES
HbO,Frontal,entropy__mse,entropy__mse,0_to_3,26,0.2339,2.501798e-01,0.1282,5.325265e-01,9.136552e-01,NO
HbO,Frontal,entropy__mse,entropy__mse,2_to_3,26,-0.2570,2.049388e-01,0.0291,8.879343e-01,8.913021e-01,NO
HbO,Occipital,entropy__sample_entropy,entropy__sample_entropy,0_to_2,26,0.3524,7.741168e-02,0.2048,3.155996e-01,7.910510e-01,NO
HbO,Occipital,entropy__sample_entropy,entropy__sample_entropy,0_to_3,26,0.2513,2.156241e-01,0.1255,5.413778e-01,8.980320e-01,NO
HbO,Occipital,entropy__sample_entropy,entropy__sample_entropy,2_to_3,26,-0.0112,9.567019e-01,-0.0537,7.945413e-01,9.975606e-01,NO
HbO,Occipital,entropy__sample_entropy,entropy__mse,0_to_2,26,0.3302,9.947749e-02,0.1850,3.657000e-01,8.436457e-01,NO
HbO,Occipital,entropy__sample_entropy,entropy__mse,0_to_3,26,0.2481,2.216566e-01,0.1056,6.075215e-01,8.980320e-01,NO
HbO,Occipital,entropy__sample_entropy,entropy__mse,2_to_3,26,0.0404,8.446668e-01,-0.0359,8.617906e-01,9.776852e-01,NO
HbO,Occipital,entropy__mse,entropy__sample_entropy,0_to_2,26,0.3981,4.400653e-02,0.2738,1.758263e-01,6.792491e-01,YES
HbO,Occipital,entropy__mse,entropy__sample_entropy,0_to_3,26,0.3605,7.038436e-02,0.2841,1.595526e-01,7.700929e-01,NO
HbO,Occipital,entropy__mse,entropy__sample_entropy,2_to_3,26,0.2018,3.228021e-01,0.1070,6.028534e-01,9.263788e-01,NO
HbO,Occipital,entropy__mse,entropy__mse,0_to_2,26,0.3464,8.295438e-02,0.2595,2.005034e-01,8.065508e-01,NO
HbO,Occipital,entropy__mse,entropy__mse,0_to_3,26,0.3457,8.363044e-02,0.2985,1.386036e-01,8.065508e-01,NO
HbO,Occipital,entropy__mse,entropy__mse,2_to_3,26,0.2291,2.603394e-01,0.0831,6.865982e-01,9.198406e-01,NO
HbO,Parietal,entropy__sample_entropy,entropy__sample_entropy,0_to_2,26,0.2204,2.792401e-01,0.2034,3.189123e-01,9.231252e-01,NO
HbO,Parietal,entropy__sample_entropy,entropy__sample_entropy,0_to_3,26,0.1314,5.221718e-01,0.0256,9.010508e-01,9.263788e-01,NO
HbO,Parietal,entropy__sample_entropy,entropy__sample_entropy,2_to_3,26,-0.3006,1.356590e-01,-0.2581,2.029710e-01,8.780519e-01,NO
HbO,Parietal,entropy__sample_entropy,entropy__mse,0_to_2,26,0.1808,3.768244e-01,0.1870,3.603126e-01,9.263788e-01,NO
HbO,Parietal,entropy__sample_entropy,entropy__mse,0_to_3,26,0.1245,5.443712e-01,0.0632,7.588826e-01,9.263788e-01,NO
HbO,Parietal,entropy__sample_entropy,entropy__mse,2_to_3,26,-0.3270,1.030062e-01,-0.2403,2.369401e-01,8.471551e-01,NO
HbO,Parietal,entropy__mse,entropy__sample_entropy,0_to_2,26,0.2413,2.350338e-01,0.2950,1.434011e-01,9.060788e-01,NO
HbO,Parietal,entropy__mse,entropy__sample_entropy,0_to_3,26,0.2024,3.215103e-01,0.1904,3.514379e-01,9.263788e-01,NO
HbO,Parietal,entropy__mse,entropy__sample_entropy,2_to_3,26,0.0077,9.703437e-01,0.0373,8.565779e-01,9.975606e-01,NO
HbO,Parietal,entropy__mse,entropy__mse,0_to_2,26,0.1990,3.296725e-01,0.2991,1.376581e-01,9.263788e-01,NO
HbO,Parietal,entropy__mse,entropy__mse,0_to_3,26,0.1742,3.948009e-01,0.1795,3.802946e-01,9.263788e-01,NO
HbO,Parietal,entropy__mse,entropy__mse,2_to_3,26,-0.1127,5.836874e-01,-0.0810,6.939649e-01,9.331281e-01,NO
HbO,WholeBrain,entropy__sample_entropy,entropy__sample_entropy,0_to_2,26,0.4256,3.017464e-02,0.5405,4.361744e-03,6.523048e-01,YES
HbO,WholeBrain,entropy__sample_entropy,entropy__sample_entropy,0_to_3,26,0.1942,3.416748e-01,0.1761,3.895837e-01,9.263788e-01,NO
HbO,WholeBrain,entropy__sample_entropy,entropy__sample_entropy,2_to_3,26,-0.2557,2.073033e-01,-0.0284,8.905554e-01,8.980320e-01,NO
HbO,WholeBrain,entropy__sample_entropy,entropy__mse,0_to_2,26,0.3795,5.584972e-02,0.4762,1.391537e-02,7.073035e-01,NO
HbO,WholeBrain,entropy__sample_entropy,entropy__mse,0_to_3,26,0.1674,4.136311e-01,0.1323,5.193796e-01,9.263788e-01,NO
HbO,WholeBrain,entropy__sample_entropy,entropy__mse,2_to_3,26,-0.2480,2.219626e-01,-0.0318,8.774616e-01,8.980320e-01,NO
HbO,WholeBrain,entropy__mse,entropy__sample_entropy,0_to_2,26,0.4669,1.618866e-02,0.5439,4.074491e-03,6.015990e-01,YES
HbO,WholeBrain,entropy__mse,entropy__sample_entropy,0_to_3,26,0.2055,3.139575e-01,0.1405,4.935653e-01,9.263788e-01,NO
HbO,WholeBrain,entropy__mse,entropy__sample_entropy,2_to_3,26,-0.2214,2.770961e-01,0.0715,7.286925e-01,9.231252e-01,NO
HbO,WholeBrain,entropy__mse,entropy__mse,0_to_2,26,0.4263,2.986839e-02,0.4926,1.056116e-02,6.523048e-01,YES
HbO,WholeBrain,entropy__mse,entropy__mse,0_to_3,26,0.1761,3.894473e-01,0.0858,6.768191e-01,9.263788e-01,NO
HbO,WholeBrain,entropy__mse,entropy__mse,2_to_3,26,-0.2207,2.785580e-01,0.0352,8.643991e-01,9.231252e-01,NO
HbR,Central,entropy__sample_entropy,entropy__sample_entropy,0_to_2,26,-0.0529,7.975871e-01,0.0790,7.013588e-01,9.727882e-01,NO
HbR,Central,entropy__sample_entropy,entropy__sample_entropy,0_to_3,26,-0.0585,7.764689e-01,-0.0318,8.774616e-01,9.727882e-01,NO
HbR,Central,entropy__sample_entropy,entropy__sample_entropy,2_to_3,26,-0.3474,8.201916e-02,-0.1986,3.306738e-01,8.065508e-01,NO
HbR,Central,entropy__sample_entropy,entropy__mse,0_to_2,26,-0.0611,7.668252e-01,0.0161,9.379011e-01,9.722481e-01,NO
HbR,Central,entropy__sample_entropy,entropy__mse,0_to_3,26,-0.0976,6.353417e-01,-0.1255,5.413778e-01,9.491386e-01,NO
HbR,Central,entropy__sample_entropy,entropy__mse,2_to_3,26,-0.2670,1.872844e-01,-0.1487,4.684103e-01,8.882456e-01,NO
HbR,Central,entropy__mse,entropy__sample_entropy,0_to_2,26,-0.0190,9.265253e-01,0.0263,8.984254e-01,9.878817e-01,NO
