chromophore,region,eeg_measure,nirs_measure,contrast,pearson_r,pearson_p,coupling_mode
HbO,Central,entropy__sample_entropy,entropy__sample_entropy,0_to_2,0.3890,4.949910e-02,Positive Neurovascular Synergy (HbO/HbT)
HbO,Central,entropy__mse,entropy__sample_entropy,0_to_2,0.4525,2.026758e-02,Positive Neurovascular Synergy (HbO/HbT)
HbO,Frontal,entropy__sample_entropy,entropy__sample_entropy,0_to_2,0.4088,3.809613e-02,Positive Neurovascular Synergy (HbO/HbT)
HbO,Frontal,entropy__sample_entropy,entropy__mse,0_to_2,0.3954,4.556638e-02,Positive Neurovascular Synergy (HbO/HbT)
HbO,Frontal,entropy__mse,entropy__sample_entropy,0_to_2,0.4300,2.834376e-02,Positive Neurovascular Synergy (HbO/HbT)
HbO,Frontal,entropy__mse,entropy__mse,0_to_2,0.4145,3.524204e-02,Positive Neurovascular Synergy (HbO/HbT)
HbO,Occipital,entropy__mse,entropy__sample_entropy,0_to_2,0.3981,4.400653e-02,Positive Neurovascular Synergy (HbO/HbT)
HbO,WholeBrain,entropy__sample_entropy,entropy__sample_entropy,0_to_2,0.4256,3.017464e-02,Positive Neurovascular Synergy (HbO/HbT)
HbO,WholeBrain,entropy__mse,entropy__sample_entropy,0_to_2,0.4669,1.618866e-02,Positive Neurovascular Synergy (HbO/HbT)
HbO,WholeBrain,entropy__mse,entropy__mse,0_to_2,0.4263,2.986839e-02,Positive Neurovascular Synergy (HbO/HbT)
HbR,Frontal,entropy__mse,entropy__mse,0_to_2,-0.3954,4.559132e-02,Inverse Deoxygenation Coupling (HbR)
HbT,Central,entropy__sample_entropy,entropy__sample_entropy,0_to_2,0.4569,1.895818e-02,Positive Neurovascular Synergy (HbO/HbT)
HbT,Central,entropy__mse,entropy__sample_entropy,0_to_2,0.5238,6.026975e-03,Positive Neurovascular Synergy (HbO/HbT)
HbT,Central,entropy__mse,entropy__mse,0_to_2,0.4611,1.774718e-02,Positive Neurovascular Synergy (HbO/HbT)
HbT,Frontal,entropy__sample_entropy,entropy__sample_entropy,0_to_2,0.4518,2.048692e-02,Positive Neurovascular Synergy (HbO/HbT)
HbT,Frontal,entropy__sample_entropy,entropy__mse,0_to_2,0.4379,2.524613e-02,Positive Neurovascular Synergy (HbO/HbT)
HbT,Frontal,entropy__mse,entropy__sample_entropy,0_to_2,0.4685,1.578620e-02,Positive Neurovascular Synergy (HbO/HbT)
HbT,Frontal,entropy__mse,entropy__mse,0_to_2,0.4448,2.278334e-02,Positive Neurovascular Synergy (HbO/HbT)
HbT,Occipital,entropy__sample_entropy,entropy__sample_entropy,0_to_2,0.4746,1.430110e-02,Positive Neurovascular Synergy (HbO/HbT)
HbT,Occipital,entropy__sample_entropy,entropy__mse,0_to_2,0.4747,1.427069e-02,Positive Neurovascular Synergy (HbO/HbT)
HbT,Occipital,entropy__mse,entropy__sample_entropy,0_to_2,0.4342,2.666739e-02,Positive Neurovascular Synergy (HbO/HbT)
HbT,Occipital,entropy__mse,entropy__mse,0_to_2,0.4226,3.150263e-02,Positive Neurovascular Synergy (HbO/HbT)
HbT,WholeBrain,entropy__sample_entropy,entropy__sample_entropy,0_to_2,0.5175,6.784035e-03,Positive Neurovascular Synergy (HbO/HbT)
HbT,WholeBrain,entropy__sample_entropy,entropy__mse,0_to_2,0.4922,1.063939e-02,Positive Neurovascular Synergy (HbO/HbT)
HbT,WholeBrain,entropy__mse,entropy__sample_entropy,0_to_2,0.5517,3.477997e-03,Positive Neurovascular Synergy (HbO/HbT)
HbT,WholeBrain,entropy__mse,entropy__mse,0_to_2,0.5308,5.276927e-03,Positive Neurovascular Synergy (HbO/HbT)
