branch,region,entropy_measure,amplitude_measure,contrast,n,beta0_adjusted_entropy,beta1_amplitude,beta0_se,beta0_t,beta0_p,r2,beta0_q_global,beta0_q_within_entropy_region
event,Central,entropy__sample_entropy,amp__rms,2T_minus_2NT,26,-0.003768421520335436,-0.037526198566994795,0.003454072047301605,-1.09100837177945,0.28610168287605603,0.6371395506846035,0.7742223638175123,0.8919403976734919
event,Central,entropy__sample_entropy,amp__rms,3T_minus_3NT,26,-0.0014182743329959214,-0.04046415237887184,0.003992526726475529,-0.35523227022901543,0.7255185557054662,0.6071610309614586,0.934625614765018,0.8919403976734919
event,Central,entropy__sample_entropy,amp__rms,Target_main,26,-0.0025184282766093496,-0.03836549043097302,0.002881586250669901,-0.8739728946249221,0.3907947025110438,0.6699063242326382,0.8125695465469722,0.8919403976734919
event,Central,entropy__sample_entropy,amp__rms,Load_x_Target_interaction,26,0.002661643210585058,-0.04097824505247005,0.004705769021138942,0.565612803906992,0.5769073491507537,0.5158500468041509,0.9040924926600935,0.8919403976734919
event,Central,entropy__sample_entropy,amp__broadband_power_1_45,2T_minus_2NT,26,-0.002277434323612081,-0.0007134785682077856,0.004888115290392826,-0.4659125630870827,0.6454788781626346,0.2716410070796973,0.918554153964321,0.8919403976734919
event,Central,entropy__sample_entropy,amp__broadband_power_1_45,3T_minus_3NT,26,-0.0026481293137129427,-0.0010060834489870661,0.0053484244920695805,-0.49512324940540486,0.6250158844386764,0.3395888769128653,0.9157675869586549,0.8919403976734919
event,Central,entropy__sample_entropy,amp__broadband_power_1_45,Target_main,26,-0.0022653940986270254,-0.0008530564826472823,0.004127476380723726,-0.5488569502679512,0.5881740066650013,0.34393450603867104,0.9071309791594568,0.8919403976734919
event,Central,entropy__sample_entropy,amp__broadband_power_1_45,Load_x_Target_interaction,26,0.0011267073042301508,-0.0008040164132350054,0.006058810954845783,0.18596178567496324,0.8540375520342766,0.20877112483191151,0.9639402465554019,0.8989868968781858
event,Central,entropy__sample_entropy,amp__theta_relative_4_8,2T_minus_2NT,26,-0.001773377166198649,0.3118631092608356,0.00618971017336787,-0.2865040715199983,0.776950813365352,0.023192987757973516,0.9504136542572279,0.8919403976734919
event,Central,entropy__sample_entropy,amp__theta_relative_4_8,3T_minus_3NT,26,-0.007929699310891013,1.4787779953868858,0.005674411601169888,-1.397448734465465,0.17506459269238678,0.38645491421024036,0.735042939535744,0.8919403976734919
event,Central,entropy__sample_entropy,amp__theta_relative_4_8,Target_main,26,-0.005471710180679074,1.0261321748371321,0.00516017502328053,-1.0603729826978794,0.29953013693198277,0.21685977008816015,0.7851487485724487,0.8919403976734919
event,Central,entropy__sample_entropy,amp__theta_relative_4_8,Load_x_Target_interaction,26,0.0024103526843706185,0.528067349265143,0.00658558993309211,0.3660040647624857,0.7175685500340051,0.05610583012268544,0.934625614765018,0.8919403976734919
