participant,load,region,measure,contrast,balanced_contrast_mean,resample_sd,resample_ci2_5,resample_ci97_5
VP001,2,Central,entropy__sample_entropy,2T_minus_2NT,-0.04456035731037858,0.013489426747399618,-0.07185759782748681,-0.01797457077171141
VP001,2,Central,entropy__mse,2T_minus_2NT,-0.04798656542608778,0.01850413516029094,-0.08445873320030857,-0.010903873999413376
VP001,2,Central,sensitivity__mse__scale1,2T_minus_2NT,-0.04456035731037858,0.013489426747399618,-0.07185759782748681,-0.01797457077171141
VP001,2,Central,sensitivity__mse__scale2,2T_minus_2NT,-0.06205627609896168,0.02112728481233089,-0.10163242646692443,-0.01968516395281964
VP001,2,Central,sensitivity__mse__scale3,2T_minus_2NT,-0.10394966400810175,0.029407194223620783,-0.1607352345565909,-0.04695585681770466
VP001,2,Central,sensitivity__mse__scale4,2T_minus_2NT,0.014571619472180497,0.031255332607092325,-0.045777619941255177,0.07801094925812377
VP001,2,Central,sensitivity__mse__scale5,2T_minus_2NT,,,,
VP001,2,Frontal,entropy__sample_entropy,2T_minus_2NT,-0.013725111754681064,0.013921841994620309,-0.04118487150208408,0.012932367873906373
VP001,2,Frontal,entropy__mse,2T_minus_2NT,-0.014886298814939391,0.021496840398632387,-0.05731440996290598,0.02541219980698073
VP001,2,Frontal,sensitivity__mse__scale1,2T_minus_2NT,-0.013725111754681064,0.013921841994620309,-0.04118487150208408,0.012932367873906373
VP001,2,Frontal,sensitivity__mse__scale2,2T_minus_2NT,-0.020883927480508154,0.02330947190357191,-0.06594721943053171,0.02338591591997317
VP001,2,Frontal,sensitivity__mse__scale3,2T_minus_2NT,-0.02826326786624753,0.026919800602670425,-0.08215512102788201,0.021982824995913256
VP001,2,Frontal,sensitivity__mse__scale4,2T_minus_2NT,0.0046006284664764805,0.025470173937962137,-0.04607287940600112,0.050998135653848566
VP001,2,Frontal,sensitivity__mse__scale5,2T_minus_2NT,,,,
VP001,2,Occipital,entropy__sample_entropy,2T_minus_2NT,-0.02757930659949921,0.014035876312843724,-0.05599018028604521,-0.0022335535175767363
VP001,2,Occipital,entropy__mse,2T_minus_2NT,-0.05678219758074122,0.018519863098330203,-0.09348485445172,-0.021529759905213112
VP001,2,Occipital,sensitivity__mse__scale1,2T_minus_2NT,-0.02757930659949921,0.014035876312843724,-0.05599018028604521,-0.0022335535175767363
VP001,2,Occipital,sensitivity__mse__scale2,2T_minus_2NT,-0.06293299881649979,0.02367986592546283,-0.11004622310457596,-0.02127375904092056
VP001,2,Occipital,sensitivity__mse__scale3,2T_minus_2NT,0.006923043824351531,0.031580906839035014,-0.05508448729248777,0.06568474577661941
VP001,2,Occipital,sensitivity__mse__scale4,2T_minus_2NT,-0.15368205210886424,0.03525835606212036,-0.22047750517981643,-0.08601939912842321
VP001,2,Occipital,sensitivity__mse__scale5,2T_minus_2NT,,,,
VP001,2,Parietal,entropy__sample_entropy,2T_minus_2NT,-0.04491541752103144,0.012288970968123395,-0.07018246739017707,-0.022163298284608293
VP001,2,Parietal,entropy__mse,2T_minus_2NT,-0.06312006643647498,0.01406830749913553,-0.09131958139160923,-0.03661865330392747
VP001,2,Parietal,sensitivity__mse__scale1,2T_minus_2NT,-0.04491541752103144,0.012288970968123395,-0.07018246739017707,-0.022163298284608293
VP001,2,Parietal,sensitivity__mse__scale2,2T_minus_2NT,-0.07897926002499905,0.017148981082595383,-0.11324448520150181,-0.04536829360919975
VP001,2,Parietal,sensitivity__mse__scale3,2T_minus_2NT,-0.08959469642637112,0.021723932181002218,-0.13034588945182146,-0.04593866505471027
VP001,2,Parietal,sensitivity__mse__scale4,2T_minus_2NT,-0.042916790222921594,0.023361534293647967,-0.0868327482673973,0.0025116706327839656
VP001,2,Parietal,sensitivity__mse__scale5,2T_minus_2NT,,,,
