scale,region,contrast,cond_A,cond_B,mean_contrast,sd_contrast,ci95_low,ci95_high,paired_dz,rank_biserial,t_stat,t_p_value,wilcoxon_p,significant_p05
mean_mse,Central,0_to_2,0back,2back,-0.038964,0.066346,-0.065762,-0.012166,-0.5873,-0.5840,-2.9946,6.117453e-03,7.938445e-03,YES
mean_mse,Central,0_to_3,0back,3back,-0.027441,0.060949,-0.052059,-0.002823,-0.4502,-0.4473,-2.2957,3.035339e-02,4.633117e-02,YES
mean_mse,Central,2_to_3,2back,3back,0.011523,0.020465,0.003257,0.019789,0.5631,0.5840,2.8710,8.212854e-03,7.938445e-03,YES
1,Central,0_to_2,0back,2back,-0.013334,0.064986,-0.039582,0.012915,-0.2052,-0.1909,-1.0462,3.054707e-01,4.082431e-01,NO
1,Central,0_to_3,0back,3back,-0.001342,0.061580,-0.026215,0.023531,-0.0218,-0.0028,-0.1111,9.123901e-01,1.000000e+00,NO
1,Central,2_to_3,2back,3back,0.011992,0.017997,0.004723,0.019261,0.6663,0.6581,3.3976,2.280386e-03,2.410769e-03,YES
2,Central,0_to_2,0back,2back,-0.031304,0.085218,-0.065724,0.003117,-0.3673,-0.3504,-1.8731,7.279985e-02,1.226694e-01,NO
2,Central,0_to_3,0back,3back,-0.016583,0.079508,-0.048698,0.015531,-0.2086,-0.2023,-1.0635,2.977084e-01,3.801938e-01,NO
2,Central,2_to_3,2back,3back,0.014720,0.023781,0.005115,0.024326,0.6190,0.5556,3.1562,4.136022e-03,1.196674e-02,YES
3,Central,0_to_2,0back,2back,-0.042181,0.073190,-0.071743,-0.012619,-0.5763,-0.5499,-2.9386,6.993761e-03,1.295260e-02,YES
3,Central,0_to_3,0back,3back,-0.032101,0.066523,-0.058970,-0.005231,-0.4825,-0.4473,-2.4605,2.112934e-02,4.633117e-02,YES
3,Central,2_to_3,2back,3back,0.010080,0.023787,0.000472,0.019688,0.4237,0.4416,2.1607,4.049902e-02,4.934686e-02,YES
4,Central,0_to_2,0back,2back,-0.050448,0.065220,-0.076791,-0.024105,-0.7735,-0.6980,-3.9441,5.717983e-04,1.165122e-03,YES
