scale,region,condition,n_participants,mean,std,sem,median,q25,q75,min,max
1,Central,0back,26,0.912510,0.154030,0.030208,0.881475,0.818610,0.993033,0.606722,1.324095
1,Central,2back,26,0.899177,0.172830,0.033895,0.881995,0.793453,0.967494,0.551095,1.378905
1,Central,3back,26,0.911168,0.173541,0.034034,0.908783,0.804957,0.993519,0.548672,1.370922
1,Frontal,0back,26,0.710536,0.202627,0.039738,0.688157,0.593305,0.777843,0.299049,1.245622
1,Frontal,2back,26,0.671317,0.222017,0.043541,0.651929,0.521572,0.758317,0.273782,1.316612
1,Frontal,3back,26,0.680495,0.223432,0.043819,0.661952,0.535639,0.763481,0.273550,1.314630
1,Occipital,0back,26,1.005924,0.141292,0.027710,0.962436,0.927067,1.090891,0.750444,1.293908
1,Occipital,2back,26,1.045772,0.138850,0.027231,1.018773,0.949077,1.123075,0.863299,1.376877
1,Occipital,3back,26,1.053243,0.136596,0.026789,1.016209,0.945344,1.156204,0.882759,1.362699
1,Parietal,0back,26,0.996028,0.139457,0.027350,0.979620,0.901155,1.051040,0.735764,1.321334
1,Parietal,2back,26,1.014137,0.139509,0.027360,0.989312,0.939611,1.069463,0.753429,1.391264
1,Parietal,3back,26,1.025478,0.139464,0.027351,0.997636,0.933147,1.094977,0.765595,1.382688
1,Temporal,0back,26,1.120405,0.152503,0.029908,1.156142,1.035825,1.225683,0.815031,1.374892
1,Temporal,2back,26,1.109932,0.146895,0.028808,1.115470,1.009690,1.219933,0.804067,1.384910
1,Temporal,3back,26,1.115968,0.152273,0.029863,1.139971,1.002113,1.243186,0.787234,1.379691
1,WholeBrain,0back,26,0.884867,0.147877,0.029001,0.851578,0.791231,0.931989,0.618477,1.289159
1,WholeBrain,2back,26,0.877373,0.161351,0.031644,0.861894,0.777854,0.945931,0.569401,1.358617
1,WholeBrain,3back,26,0.887140,0.162687,0.031906,0.857195,0.776116,0.949758,0.576166,1.352334
2,Central,0back,26,1.522453,0.196570,0.038550,1.483441,1.438164,1.643403,1.066540,1.991405
2,Central,2back,26,1.491149,0.228692,0.044850,1.497527,1.332345,1.615687,0.954617,2.039662
2,Central,3back,26,1.505870,0.228106,0.044735,1.514506,1.350262,1.622945,0.950037,2.039596
2,Frontal,0back,26,1.167419,0.306483,0.060106,1.185412,0.965253,1.319744,0.495431,1.868825
2,Frontal,2back,26,1.094148,0.334144,0.065531,1.090700,0.849272,1.241669,0.450256,1.947660
2,Frontal,3back,26,1.106880,0.335310,0.065760,1.117137,0.873753,1.259350,0.447981,1.952042
2,Occipital,0back,26,1.661094,0.161755,0.031723,1.656057,1.580513,1.748277,1.271966,1.960603
2,Occipital,2back,26,1.703857,0.141584,0.027767,1.655408,1.607760,1.758273,1.504639,2.019019
2,Occipital,3back,26,1.714234,0.137679,0.027001,1.683683,1.611873,1.802651,1.523030,2.018293
2,Parietal,0back,26,1.639219,0.159323,0.031246,1.641329,1.534958,1.721873,1.301106,1.981457
2,Parietal,2back,26,1.651766,0.156849,0.030761,1.637768,1.555517,1.727255,1.309811,2.045297
2,Parietal,3back,26,1.665601,0.155317,0.030460,1.660127,1.578985,1.735043,1.322899,2.037368
2,Temporal,0back,26,1.741009,0.168439,0.033034,1.757458,1.661197,1.830454,1.346202,2.024454
2,Temporal,2back,26,1.716556,0.168904,0.033125,1.727977,1.626204,1.819725,1.352683,2.016142
