region,contrast,cond_A,cond_B,mean_contrast,sd_contrast,ci95_low,ci95_high,paired_dz,rank_biserial,t_stat,t_p_value,wilcoxon_p,fdr_q_global,significant_p05
Central,0_to_2,0back,2back,-0.013334,0.064986,-0.039582,0.012915,-0.2052,-0.1909,-1.0462,3.054707e-01,4.082431e-01,3.862022e-01,NO
Central,0_to_3,0back,3back,-0.001342,0.061580,-0.026215,0.023531,-0.0218,-0.0028,-0.1111,9.123901e-01,1.000000e+00,9.228174e-01,NO
Central,2_to_3,2back,3back,0.011992,0.017997,0.004723,0.019261,0.6663,0.6581,3.3976,2.280386e-03,2.410769e-03,1.293681e-02,YES
Frontal,0_to_2,0back,2back,-0.039219,0.079800,-0.071451,-0.006987,-0.4915,-0.5214,-2.5060,1.908460e-02,1.897734e-02,4.686155e-02,YES
Frontal,0_to_3,0back,3back,-0.030042,0.075689,-0.060613,0.000530,-0.3969,-0.4359,-2.0238,5.379945e-02,5.251908e-02,9.817012e-02,NO
Frontal,2_to_3,2back,3back,0.009177,0.023627,-0.000366,0.018720,0.3884,0.4872,1.9805,5.875186e-02,2.915090e-02,1.043574e-01,NO
Occipital,0_to_2,0back,2back,0.039849,0.063964,0.014013,0.065684,0.6230,0.6353,3.1766,3.934753e-03,3.550977e-03,1.785773e-02,YES
Occipital,0_to_3,0back,3back,0.047319,0.065945,0.020683,0.073955,0.7175,0.7037,3.6588,1.183245e-03,1.044393e-03,8.726430e-03,YES
Occipital,2_to_3,2back,3back,0.007470,0.017789,0.000285,0.014655,0.4199,0.4302,2.1413,4.218312e-02,5.585322e-02,8.186856e-02,YES
Parietal,0_to_2,0back,2back,0.018109,0.060794,-0.006446,0.042664,0.2979,0.3048,1.5189,1.413446e-01,1.813544e-01,2.077906e-01,NO
Parietal,0_to_3,0back,3back,0.029450,0.063835,0.003667,0.055233,0.4613,0.4644,2.3524,2.682931e-02,3.816831e-02,5.985452e-02,YES
Parietal,2_to_3,2back,3back,0.011341,0.015222,0.005193,0.017489,0.7451,0.7208,3.7992,8.283229e-04,7.454455e-04,7.815120e-03,YES
Temporal,0_to_2,0back,2back,-0.010473,0.059508,-0.034509,0.013563,-0.1760,-0.1738,-0.8974,3.780821e-01,4.524725e-01,4.634385e-01,NO
Temporal,0_to_3,0back,3back,-0.004437,0.062014,-0.029485,0.020611,-0.0716,-0.1453,-0.3648,7.182962e-01,5.316631e-01,7.724084e-01,NO
Temporal,2_to_3,2back,3back,0.006036,0.022411,-0.003016,0.015087,0.2693,0.3219,1.3733,1.818661e-01,1.573652e-01,2.550737e-01,NO
WholeBrain,0_to_2,0back,2back,-0.007494,0.061714,-0.032421,0.017433,-0.1214,-0.1054,-0.6192,5.414071e-01,6.528128e-01,6.155497e-01,NO
WholeBrain,0_to_3,0back,3back,0.002273,0.061162,-0.022431,0.026977,0.0372,0.0028,0.1895,8.512234e-01,1.000000e+00,8.759682e-01,NO
WholeBrain,2_to_3,2back,3back,0.009767,0.016460,0.003119,0.016415,0.5934,0.6353,3.0257,5.676400e-03,3.550977e-03,2.270504e-02,YES
