participant,region,0back,2back,3back,delta_0_to_2,delta_0_to_3,delta_2_to_3
VP001,Central,0.969155,0.893575,0.934314,-0.075580,-0.034841,0.040739
VP001,Frontal,0.658799,0.564154,0.588523,-0.094645,-0.070276,0.024369
VP001,Occipital,1.096357,1.029396,1.043078,-0.066961,-0.053280,0.013681
VP001,Parietal,1.162524,1.127295,1.155534,-0.035228,-0.006990,0.028239
VP001,Temporal,1.227260,1.194048,1.236680,-0.033212,0.009420,0.042633
VP001,WholeBrain,0.941449,0.875298,0.902825,-0.066150,-0.038624,0.027526
VP002,Central,0.836305,0.843955,0.880000,0.007650,0.043695,0.036045
VP002,Frontal,0.797931,0.689885,0.710095,-0.108046,-0.087836,0.020210
VP002,Occipital,0.750444,0.962735,0.973800,0.212291,0.223357,0.011066
VP002,Parietal,0.856738,0.983808,1.013695,0.127070,0.156957,0.029887
VP002,Temporal,1.093210,1.140364,1.167626,0.047154,0.074416,0.027262
VP002,WholeBrain,0.836948,0.862279,0.886820,0.025331,0.049872,0.024541
VP003,Central,0.865460,0.850656,0.843949,-0.014804,-0.021511,-0.006707
VP003,Frontal,0.780007,0.697346,0.710750,-0.082661,-0.069257,0.013404
VP003,Occipital,0.969116,1.046301,1.019302,0.077185,0.050187,-0.026998
VP003,Parietal,0.935778,0.968945,0.954762,0.033166,0.018984,-0.014183
VP003,Temporal,1.030851,1.020046,1.020624,-0.010805,-0.010228,0.000577
VP003,WholeBrain,0.877411,0.861510,0.858647,-0.015902,-0.018764,-0.002863
VP004,Central,0.812711,0.790468,0.784565,-0.022243,-0.028146,-0.005903
VP004,Frontal,0.689472,0.640381,0.591096,-0.049092,-0.098377,-0.049285
VP004,Occipital,0.930004,0.935816,0.928432,0.005812,-0.001572,-0.007384
VP004,Parietal,0.886531,0.886132,0.884578,-0.000399,-0.001953,-0.001554
VP004,Temporal,0.846592,0.804067,0.787234,-0.042525,-0.059358,-0.016832
VP004,WholeBrain,0.803011,0.778799,0.756311,-0.024212,-0.046700,-0.022488
