region,condition,n_participants,mean,std,sem,median,iqr_q25,iqr_q75,min,max
Central,0back,26,0.912510,0.154030,0.030208,0.881475,0.818610,0.993033,0.606722,1.324095
Central,2back,26,0.899177,0.172830,0.033895,0.881995,0.793453,0.967494,0.551095,1.378905
Central,3back,26,0.911168,0.173541,0.034034,0.908783,0.804957,0.993519,0.548672,1.370922
Frontal,0back,26,0.710536,0.202627,0.039738,0.688157,0.593305,0.777843,0.299049,1.245622
Frontal,2back,26,0.671317,0.222017,0.043541,0.651929,0.521572,0.758317,0.273782,1.316612
Frontal,3back,26,0.680495,0.223432,0.043819,0.661952,0.535639,0.763481,0.273550,1.314630
Occipital,0back,26,1.005924,0.141292,0.027710,0.962436,0.927067,1.090891,0.750444,1.293908
Occipital,2back,26,1.045772,0.138850,0.027231,1.018773,0.949077,1.123075,0.863299,1.376877
Occipital,3back,26,1.053243,0.136596,0.026789,1.016209,0.945344,1.156204,0.882759,1.362699
Parietal,0back,26,0.996028,0.139457,0.027350,0.979620,0.901155,1.051040,0.735764,1.321334
Parietal,2back,26,1.014137,0.139509,0.027360,0.989312,0.939611,1.069463,0.753429,1.391264
Parietal,3back,26,1.025478,0.139464,0.027351,0.997636,0.933147,1.094977,0.765595,1.382688
Temporal,0back,26,1.120405,0.152503,0.029908,1.156142,1.035825,1.225683,0.815031,1.374892
Temporal,2back,26,1.109932,0.146895,0.028808,1.115470,1.009690,1.219933,0.804067,1.384910
Temporal,3back,26,1.115968,0.152273,0.029863,1.139971,1.002113,1.243186,0.787234,1.379691
WholeBrain,0back,26,0.884867,0.147877,0.029001,0.851578,0.791231,0.931989,0.618477,1.289159
WholeBrain,2back,26,0.877373,0.161351,0.031644,0.861894,0.777854,0.945931,0.569401,1.358617
WholeBrain,3back,26,0.887140,0.162687,0.031906,0.857195,0.776116,0.949758,0.576166,1.352334
