region,entropy_measure,amplitude_measure,contrast,raw_mean_contrast,raw_p_value,beta0_adjusted_entropy,beta1_amplitude_coupling,beta0_t_stat,beta0_p_value,r2_explained_by_amplitude,retains_significance_p05
Central,entropy__sample_entropy,amp__rms,0_to_2,-0.013334,3.054707e-01,-0.009103,-0.040239,-1.0706,2.949962e-01,0.5760,NO
Central,entropy__sample_entropy,amp__rms,0_to_3,-0.001342,9.123901e-01,-0.005627,-0.035234,-0.7023,4.892301e-01,0.5812,NO
Central,entropy__sample_entropy,amp__rms,2_to_3,0.011992,2.280386e-03,0.002776,-0.040642,0.7777,4.443443e-01,0.4102,NO
Central,entropy__sample_entropy,amp__broadband_power_1_45,0_to_2,-0.013334,3.054707e-01,-0.015196,-0.001560,-1.6529,1.113765e-01,0.5013,NO
Central,entropy__sample_entropy,amp__broadband_power_1_45,0_to_3,-0.001342,9.123901e-01,-0.008429,-0.001395,-0.9626,3.453243e-01,0.5087,NO
Central,entropy__sample_entropy,amp__broadband_power_1_45,2_to_3,0.011992,2.280386e-03,0.007353,-0.001194,2.1617,4.083204e-02,0.2832,YES
Central,entropy__sample_entropy,amp__theta_relative_4_8,0_to_2,-0.013334,3.054707e-01,-0.024394,1.002687,-1.5297,1.391732e-01,0.0515,NO
Central,entropy__sample_entropy,amp__theta_relative_4_8,0_to_3,-0.001342,9.123901e-01,-0.005912,0.534743,-0.4211,6.774427e-01,0.0178,NO
Central,entropy__sample_entropy,amp__theta_relative_4_8,2_to_3,0.011992,2.280386e-03,0.011364,-0.252397,3.0465,5.555578e-03,0.0143,YES
Central,entropy__sample_entropy,amp__alpha_relative_8_13,0_to_2,-0.013334,3.054707e-01,-0.024330,-0.245609,-1.5140,1.430785e-01,0.0492,NO
Central,entropy__sample_entropy,amp__alpha_relative_8_13,0_to_3,-0.001342,9.123901e-01,-0.012947,-0.269247,-0.8753,3.900906e-01,0.0678,NO
Central,entropy__sample_entropy,amp__alpha_relative_8_13,2_to_3,0.011992,2.280386e-03,0.010934,0.632735,3.1804,4.027352e-03,0.1164,YES
Central,entropy__sample_entropy,amp__beta_relative_13_30,0_to_2,-0.013334,3.054707e-01,0.006803,2.213707,0.9388,3.571715e-01,0.7271,NO
Central,entropy__sample_entropy,amp__beta_relative_13_30,0_to_3,-0.001342,9.123901e-01,0.009029,2.306468,1.3653,1.848262e-01,0.7234,NO
Central,entropy__sample_entropy,amp__beta_relative_13_30,2_to_3,0.011992,2.280386e-03,0.006791,1.130517,2.5742,1.664680e-02,0.5382,YES
Central,entropy__mse,amp__rms,0_to_2,-0.013334,3.054707e-01,-0.034835,-0.039270,-3.7969,8.788354e-04,0.5263,YES
Central,entropy__mse,amp__rms,0_to_3,-0.001342,9.123901e-01,-0.031587,-0.034098,-3.8673,7.364143e-04,0.5556,YES
Central,entropy__mse,amp__rms,2_to_3,0.011992,2.280386e-03,0.002767,-0.038616,0.6197,5.413192e-01,0.2864,NO
Central,entropy__mse,amp__broadband_power_1_45,0_to_2,-0.013334,3.054707e-01,-0.040787,-0.001527,-4.1795,3.344654e-04,0.4609,YES
Central,entropy__mse,amp__broadband_power_1_45,0_to_3,-0.001342,9.123901e-01,-0.034236,-0.001338,-3.8304,8.080343e-04,0.4774,YES
Central,entropy__mse,amp__broadband_power_1_45,2_to_3,0.011992,2.280386e-03,0.006629,-0.001260,1.6685,1.082043e-01,0.2438,NO
Central,entropy__mse,amp__theta_relative_4_8,0_to_2,-0.013334,3.054707e-01,-0.044660,0.516409,-2.6892,1.282132e-02,0.0131,YES
Central,entropy__mse,amp__theta_relative_4_8,0_to_3,-0.001342,9.123901e-01,-0.028221,0.091305,-2.0131,5.544947e-02,0.0005,NO
Central,entropy__mse,amp__theta_relative_4_8,2_to_3,0.011992,2.280386e-03,0.011482,-0.016535,2.6873,1.287655e-02,0.0000,YES
Central,entropy__mse,amp__alpha_relative_8_13,0_to_2,-0.013334,3.054707e-01,-0.041545,-0.057641,-2.4724,2.089592e-02,0.0026,YES
Central,entropy__mse,amp__alpha_relative_8_13,0_to_3,-0.001342,9.123901e-01,-0.030147,-0.062774,-1.9920,5.786971e-02,0.0038,NO
Central,entropy__mse,amp__alpha_relative_8_13,2_to_3,0.011992,2.280386e-03,0.009712,1.083471,2.7217,1.189764e-02,0.2639,YES
Central,entropy__mse,amp__beta_relative_13_30,0_to_2,-0.013334,3.054707e-01,-0.019703,2.117323,-2.3129,2.961766e-02,0.6382,YES
Central,entropy__mse,amp__beta_relative_13_30,0_to_3,-0.001342,9.123901e-01,-0.017374,2.238723,-2.5308,1.834879e-02,0.6957,YES
Central,entropy__mse,amp__beta_relative_13_30,2_to_3,0.011992,2.280386e-03,0.006349,1.124858,1.8755,7.294458e-02,0.4120,NO
Frontal,entropy__sample_entropy,amp__rms,0_to_2,-0.039219,1.908460e-02,0.010476,-0.019273,0.9704,3.415031e-01,0.7089,NO
Frontal,entropy__sample_entropy,amp__rms,0_to_3,-0.030042,5.379945e-02,0.008096,-0.017154,0.7533,4.586199e-01,0.6432,NO
Frontal,entropy__sample_entropy,amp__rms,2_to_3,0.009177,5.875186e-02,0.003451,-0.016123,1.1552,2.593965e-01,0.6360,NO
Frontal,entropy__sample_entropy,amp__broadband_power_1_45,0_to_2,-0.039219,1.908460e-02,-0.008619,-0.000155,-0.5761,5.699030e-01,0.3762,NO
Frontal,entropy__sample_entropy,amp__broadband_power_1_45,0_to_3,-0.030042,5.379945e-02,-0.006758,-0.000114,-0.4546,6.535014e-01,0.2846,NO
Frontal,entropy__sample_entropy,amp__broadband_power_1_45,2_to_3,0.009177,5.875186e-02,0.009747,-0.000082,2.2851,3.144037e-02,0.1891,YES
Frontal,entropy__sample_entropy,amp__theta_relative_4_8,0_to_2,-0.039219,1.908460e-02,-0.060767,1.591512,-3.0652,5.312655e-03,0.1051,YES
Frontal,entropy__sample_entropy,amp__theta_relative_4_8,0_to_3,-0.030042,5.379945e-02,-0.050676,1.577213,-2.7926,1.010171e-02,0.1219,YES
Frontal,entropy__sample_entropy,amp__theta_relative_4_8,2_to_3,0.009177,5.875186e-02,0.009197,0.044524,1.9431,6.381677e-02,0.0004,NO
Frontal,entropy__sample_entropy,amp__alpha_relative_8_13,0_to_2,-0.039219,1.908460e-02,-0.025864,0.359128,-1.3530,1.886764e-01,0.0563,NO
Frontal,entropy__sample_entropy,amp__alpha_relative_8_13,0_to_3,-0.030042,5.379945e-02,-0.017408,0.351748,-0.9824,3.356851e-01,0.0630,NO
Frontal,entropy__sample_entropy,amp__alpha_relative_8_13,2_to_3,0.009177,5.875186e-02,0.006626,2.008501,2.0511,5.133092e-02,0.5435,NO
Frontal,entropy__sample_entropy,amp__beta_relative_13_30,0_to_2,-0.039219,1.908460e-02,-0.010296,2.307120,-1.1845,2.478246e-01,0.7495,NO
Frontal,entropy__sample_entropy,amp__beta_relative_13_30,0_to_3,-0.030042,5.379945e-02,-0.007822,2.471890,-1.0133,3.210246e-01,0.7675,NO
Frontal,entropy__sample_entropy,amp__beta_relative_13_30,2_to_3,0.009177,5.875186e-02,0.003738,1.533263,1.2291,2.309562e-01,0.6202,NO
Frontal,entropy__mse,amp__rms,0_to_2,-0.039219,1.908460e-02,-0.016731,-0.024216,-0.9492,3.519752e-01,0.5905,NO
Frontal,entropy__mse,amp__rms,0_to_3,-0.030042,5.379945e-02,-0.022199,-0.021591,-1.2784,2.133181e-01,0.5225,NO
Frontal,entropy__mse,amp__rms,2_to_3,0.009177,5.875186e-02,0.000410,-0.024100,0.1048,9.173983e-01,0.6946,NO
Frontal,entropy__mse,amp__broadband_power_1_45,0_to_2,-0.039219,1.908460e-02,-0.041218,-0.000193,-1.8964,7.000231e-02,0.3054,NO
Frontal,entropy__mse,amp__broadband_power_1_45,0_to_3,-0.030042,5.379945e-02,-0.041694,-0.000140,-1.9219,6.657228e-02,0.2187,NO
Frontal,entropy__mse,amp__broadband_power_1_45,2_to_3,0.009177,5.875186e-02,0.009843,-0.000126,1.6417,1.136921e-01,0.2169,NO
Frontal,entropy__mse,amp__theta_relative_4_8,0_to_2,-0.039219,1.908460e-02,-0.106757,2.037296,-3.8807,7.118304e-04,0.0909,YES
Frontal,entropy__mse,amp__theta_relative_4_8,0_to_3,-0.030042,5.379945e-02,-0.097789,2.108558,-3.8365,7.956073e-04,0.1117,YES
Frontal,entropy__mse,amp__theta_relative_4_8,2_to_3,0.009177,5.875186e-02,0.009141,0.374478,1.3587,1.868711e-01,0.0129,NO
Frontal,entropy__mse,amp__alpha_relative_8_13,0_to_2,-0.039219,1.908460e-02,-0.044005,0.945684,-1.8227,8.082445e-02,0.2058,NO
Frontal,entropy__mse,amp__alpha_relative_8_13,0_to_3,-0.030042,5.379945e-02,-0.035268,0.972644,-1.5899,1.249424e-01,0.2470,NO
Frontal,entropy__mse,amp__alpha_relative_8_13,2_to_3,0.009177,5.875186e-02,0.005146,3.010571,1.1852,2.475452e-01,0.5969,NO
Frontal,entropy__mse,amp__beta_relative_13_30,0_to_2,-0.039219,1.908460e-02,-0.042681,2.910892,-2.9327,7.278093e-03,0.6295,YES
Frontal,entropy__mse,amp__beta_relative_13_30,0_to_3,-0.030042,5.379945e-02,-0.041272,3.218480,-3.1997,3.843353e-03,0.6672,YES
Frontal,entropy__mse,amp__beta_relative_13_30,2_to_3,0.009177,5.875186e-02,0.001704,2.048221,0.3563,7.247205e-01,0.5410,NO
Occipital,entropy__sample_entropy,amp__rms,0_to_2,0.039849,3.934753e-03,0.017219,-0.030115,1.9082,6.839442e-02,0.5927,NO
