region,entropy_measure,amplitude_measure,fisher_mean_pearson_r,ci95_low_r,ci95_high_r,mean_spearman_rho,fisher_z_t,group_p,q_global,significant_p05
Central,entropy__mse,amp__alpha_power_8_13,-0.0093,-0.0710,0.0524,0.0254,-0.3107,7.586147e-01,7.750576e-01,NO
Central,entropy__mse,amp__alpha_relative_8_13,0.2695,0.1983,0.3379,0.2958,7.5502,6.637426e-08,1.302367e-07,YES
Central,entropy__mse,amp__beta_power_13_30,0.1205,0.0558,0.1842,0.1614,3.8212,7.830408e-04,1.066334e-03,YES
Central,entropy__mse,amp__beta_relative_13_30,0.4430,0.3959,0.4878,0.4541,17.1402,2.486175e-15,2.079164e-14,YES
Central,entropy__mse,amp__broadband_power_1_45,-0.3898,-0.4440,-0.3327,-0.3474,-12.9012,1.497837e-12,6.091203e-12,YES
Central,entropy__mse,amp__delta_power_1_4,-0.4274,-0.4689,-0.3840,-0.4037,-18.1050,6.976385e-16,6.989866e-15,YES
Central,entropy__mse,amp__delta_relative_1_4,-0.4290,-0.4943,-0.3589,-0.3938,-11.3706,2.259195e-11,7.545201e-11,YES
Central,entropy__mse,amp__hilbert_envelope_mean,-0.5570,-0.6396,-0.4616,-0.5038,-10.0316,3.008691e-10,8.072478e-10,YES
Central,entropy__mse,amp__low_gamma_power_30_45,0.1537,0.0815,0.2244,0.2053,4.3563,1.976011e-04,2.828328e-04,YES
Central,entropy__mse,amp__low_gamma_relative_30_45,0.4188,0.3636,0.4711,0.4505,14.0917,2.132161e-13,1.014244e-12,YES
Central,entropy__mse,amp__mean_abs,-0.5531,-0.6361,-0.4575,-0.4994,-9.9676,3.423279e-10,9.125810e-10,YES
Central,entropy__mse,amp__peak_to_peak,-0.5872,-0.6622,-0.5005,-0.5395,-11.2420,2.870821e-11,9.361767e-11,YES
Central,entropy__mse,amp__rms,-0.6304,-0.7086,-0.5369,-0.5684,-10.7383,7.471908e-11,2.236181e-10,YES
Central,entropy__mse,amp__std,-0.6303,-0.7085,-0.5368,-0.5683,-10.7369,7.491225e-11,2.238732e-10,YES
Central,entropy__mse,amp__theta_power_4_8,-0.2300,-0.2698,-0.1894,-0.2177,-11.3607,2.301187e-11,7.673091e-11,YES
Central,entropy__mse,amp__theta_relative_4_8,0.1028,0.0353,0.1694,0.0982,3.1324,4.383272e-03,5.587526e-03,YES
Central,entropy__mse,amp__variance,-0.6033,-0.6791,-0.5148,-0.5677,-11.1410,3.469230e-11,1.120745e-10,YES
