region,contrast,dz_scale1,p_scale1,dz_scale4,p_scale4,dz_scale5,p_scale5,delta_dz_5_minus_1,same_direction,classification
Central,0_to_2,-0.2052,3.054707e-01,-0.7735,5.717983e-04,-0.9675,4.428385e-05,-0.7623,YES,COARSE AMPLIFICATION (Monotonic Reinforcement)
Central,0_to_3,-0.0218,9.123901e-01,-0.6243,3.869596e-03,-0.9437,6.065000e-05,-0.9219,YES,COARSE AMPLIFICATION (Monotonic Reinforcement)
Central,2_to_3,0.6663,2.280386e-03,0.4067,4.855082e-02,0.3633,7.578540e-02,-0.3030,YES,STABLE / MODERATE COUPLING
Frontal,0_to_2,-0.4915,1.908460e-02,-0.8154,3.301498e-04,-0.8102,3.535957e-04,-0.3187,YES,COARSE AMPLIFICATION (Monotonic Reinforcement)
Frontal,0_to_3,-0.3969,5.379945e-02,-0.7798,5.268630e-04,-0.7698,6.003965e-04,-0.3729,YES,COARSE AMPLIFICATION (Monotonic Reinforcement)
Frontal,2_to_3,0.3884,5.875186e-02,0.1724,3.876968e-01,0.1727,3.868004e-01,-0.2157,YES,STABLE / MODERATE COUPLING
Occipital,0_to_2,0.6230,3.934753e-03,0.0992,6.174187e-01,0.0420,8.323484e-01,-0.5810,YES,SCALE QUENCHING (Fine-Scale Only / Vanishes at Coarse)
Occipital,0_to_3,0.7175,1.183245e-03,0.1666,4.035966e-01,0.0601,7.617309e-01,-0.6574,YES,SCALE QUENCHING (Fine-Scale Only / Vanishes at Coarse)
Occipital,2_to_3,0.4199,4.218312e-02,0.2380,2.362979e-01,0.0454,8.186365e-01,-0.3745,YES,SCALE QUENCHING (Fine-Scale Only / Vanishes at Coarse)
Parietal,0_to_2,0.2979,1.413446e-01,-0.3200,1.152286e-01,-0.5114,1.515536e-02,-0.8093,NO,DIRECTIONAL INVERSION (Sign Flips Across Scales)
Parietal,0_to_3,0.4613,2.682931e-02,-0.1162,5.589656e-01,-0.4107,4.653071e-02,-0.8721,NO,DIRECTIONAL INVERSION (Sign Flips Across Scales)
Parietal,2_to_3,0.7451,8.283229e-04,0.7615,6.686225e-04,0.2219,2.686188e-01,-0.5232,YES,STABLE / MODERATE COUPLING
Temporal,0_to_2,-0.1760,3.780821e-01,-0.8491,2.117192e-04,-1.0148,2.374790e-05,-0.8388,YES,COARSE AMPLIFICATION (Monotonic Reinforcement)
Temporal,0_to_3,-0.0716,7.182962e-01,-0.7567,7.118598e-04,-1.0778,1.039681e-05,-1.0062,YES,COARSE AMPLIFICATION (Monotonic Reinforcement)
Temporal,2_to_3,0.2693,1.818661e-01,0.2287,2.545955e-01,0.1043,5.996949e-01,-0.1651,YES,STABLE / MODERATE COUPLING
WholeBrain,0_to_2,-0.1214,5.414071e-01,-0.8310,2.688371e-04,-0.9498,5.599574e-05,-0.8283,YES,COARSE AMPLIFICATION (Monotonic Reinforcement)
WholeBrain,0_to_3,0.0372,8.512234e-01,-0.7049,1.392911e-03,-0.8899,1.235051e-04,-0.9271,NO,DIRECTIONAL INVERSION (Sign Flips Across Scales)
WholeBrain,2_to_3,0.5934,5.676400e-03,0.4046,4.963960e-02,0.2608,1.955312e-01,-0.3326,YES,STABLE / MODERATE COUPLING
