modality,branch,metric,scale,n_values,n_finite,finite_fraction_pct,median_value,reliability_status
EEG,event,mse,1,261296,261296,100.00%,0.876741,RELIABLE (100%)
EEG,event,mse,2,261296,261288,100.00%,1.487775,RELIABLE (100%)
EEG,event,mse,3,261296,259834,99.44%,1.600164,DEGRADED
EEG,event,mse,4,261296,251609,96.29%,1.567765,DEGRADED
EEG,event,mse,5,261296,0,0.00%,NaN,UNRELIABLE (0% FINITE)
EEG,event,rcmde,1,261296,261296,100.00%,0.648444,RELIABLE (100%)
EEG,event,rcmde,2,261296,261296,100.00%,0.746051,RELIABLE (100%)
EEG,event,rcmde,3,261296,261296,100.00%,0.768259,RELIABLE (100%)
EEG,event,rcmde,4,261296,261296,100.00%,0.766662,RELIABLE (100%)
EEG,event,rcmde,5,261296,261296,100.00%,0.757597,RELIABLE (100%)
EEG,session,mse,1,392056,392056,100.00%,0.901789,RELIABLE (100%)
EEG,session,mse,2,392056,392056,100.00%,1.528511,RELIABLE (100%)
EEG,session,mse,3,392056,392056,100.00%,1.668278,RELIABLE (100%)
EEG,session,mse,4,392056,392053,100.00%,1.677322,RELIABLE (100%)
EEG,session,mse,5,392056,391902,99.96%,1.660757,RELIABLE (100%)
EEG,session,rcmde,1,392056,392056,100.00%,0.673785,RELIABLE (100%)
EEG,session,rcmde,2,392056,392056,100.00%,0.793627,RELIABLE (100%)
EEG,session,rcmde,3,392056,392056,100.00%,0.830852,RELIABLE (100%)
EEG,session,rcmde,4,392056,392056,100.00%,0.837875,RELIABLE (100%)
EEG,session,rcmde,5,392056,392056,100.00%,0.833858,RELIABLE (100%)
fNIRS_HbO,session,mse,1,75816,75816,100.00%,0.105921,RELIABLE (100%)
fNIRS_HbO,session,mse,2,75816,75816,100.00%,0.228715,RELIABLE (100%)
fNIRS_HbO,session,mse,3,75816,75816,100.00%,0.300393,RELIABLE (100%)
fNIRS_HbO,session,mse,4,75816,75816,100.00%,0.354743,RELIABLE (100%)
fNIRS_HbO,session,mse,5,75816,0,0.00%,NaN,UNRELIABLE (0% FINITE)
fNIRS_HbO,session,rcmde,1,75816,75816,100.00%,0.406612,RELIABLE (100%)
fNIRS_HbO,session,rcmde,2,75816,75816,100.00%,0.459735,RELIABLE (100%)
fNIRS_HbO,session,rcmde,3,75816,75816,100.00%,0.495033,RELIABLE (100%)
fNIRS_HbO,session,rcmde,4,75816,75816,100.00%,0.517898,RELIABLE (100%)
fNIRS_HbO,session,rcmde,5,75816,75816,100.00%,0.531867,RELIABLE (100%)
fNIRS_HbR,session,mse,1,75816,75816,100.00%,0.098675,RELIABLE (100%)
fNIRS_HbR,session,mse,2,75816,75816,100.00%,0.212785,RELIABLE (100%)
fNIRS_HbR,session,mse,3,75816,75816,100.00%,0.286615,RELIABLE (100%)
fNIRS_HbR,session,mse,4,75816,75816,100.00%,0.342470,RELIABLE (100%)
fNIRS_HbR,session,mse,5,75816,0,0.00%,NaN,UNRELIABLE (0% FINITE)
fNIRS_HbR,session,rcmde,1,75816,75816,100.00%,0.400629,RELIABLE (100%)
fNIRS_HbR,session,rcmde,2,75816,75816,100.00%,0.451981,RELIABLE (100%)
fNIRS_HbR,session,rcmde,3,75816,75816,100.00%,0.486571,RELIABLE (100%)
fNIRS_HbR,session,rcmde,4,75816,75816,100.00%,0.509373,RELIABLE (100%)
fNIRS_HbR,session,rcmde,5,75816,75816,100.00%,0.524291,RELIABLE (100%)
fNIRS_HbT,session,mse,1,75816,75816,100.00%,0.106644,RELIABLE (100%)
fNIRS_HbT,session,mse,2,75816,75816,100.00%,0.230035,RELIABLE (100%)
fNIRS_HbT,session,mse,3,75816,75816,100.00%,0.300525,RELIABLE (100%)
fNIRS_HbT,session,mse,4,75816,75816,100.00%,0.355209,RELIABLE (100%)
fNIRS_HbT,session,mse,5,75816,0,0.00%,NaN,UNRELIABLE (0% FINITE)
fNIRS_HbT,session,rcmde,1,75816,75816,100.00%,0.406998,RELIABLE (100%)
fNIRS_HbT,session,rcmde,2,75816,75816,100.00%,0.460233,RELIABLE (100%)
fNIRS_HbT,session,rcmde,3,75816,75816,100.00%,0.495621,RELIABLE (100%)
fNIRS_HbT,session,rcmde,4,75816,75816,100.00%,0.518641,RELIABLE (100%)
fNIRS_HbT,session,rcmde,5,75816,75816,100.00%,0.532464,RELIABLE (100%)
