chromophore,region,contrast,cond_A,cond_B,mean_contrast,sd_contrast,ci95_low,ci95_high,paired_dz,rank_biserial,t_stat,t_p_value,wilcoxon_p,fdr_q_global,significant_p05
HbO,Central,0_to_2,0back,2back,0.002070,0.011543,-0.002592,0.006732,0.1793,0.1738,0.9143,3.692684e-01,4.524725e-01,5.760571e-01,NO
HbO,Central,0_to_3,0back,3back,-0.003842,0.015623,-0.010152,0.002469,-0.2459,-0.2080,-1.2538,2.215110e-01,3.666093e-01,4.160390e-01,NO
HbO,Central,2_to_3,2back,3back,-0.005911,0.013343,-0.011301,-0.000522,-0.4430,-0.4758,-2.2591,3.284824e-02,3.341016e-02,2.016517e-01,YES
HbO,Frontal,0_to_2,0back,2back,0.005254,0.012412,0.000241,0.010268,0.4233,0.4359,2.1584,4.069781e-02,5.251908e-02,2.267295e-01,YES
HbO,Frontal,0_to_3,0back,3back,-0.003168,0.016508,-0.009835,0.003500,-0.1919,-0.1909,-0.9784,3.372451e-01,4.082431e-01,5.460005e-01,NO
HbO,Frontal,2_to_3,2back,3back,-0.008422,0.011426,-0.013037,-0.003807,-0.7371,-0.7265,-3.7584,9.190416e-04,6.641448e-04,3.062865e-02,YES
HbO,Occipital,0_to_2,0back,2back,0.004574,0.015536,-0.001701,0.010849,0.2944,0.4587,1.5014,1.457781e-01,4.074723e-02,3.495574e-01,NO
HbO,Occipital,0_to_3,0back,3back,-0.000564,0.021010,-0.009050,0.007922,-0.0268,0.0883,-0.1368,8.922623e-01,7.078457e-01,9.345496e-01,NO
HbO,Occipital,2_to_3,2back,3back,-0.005138,0.013762,-0.010697,0.000421,-0.3734,-0.4758,-1.9037,6.851849e-02,3.341016e-02,2.759769e-01,NO
HbO,Parietal,0_to_2,0back,2back,0.004355,0.014835,-0.001638,0.010347,0.2935,0.5100,1.4967,1.469956e-01,2.197167e-02,3.495574e-01,NO
HbO,Parietal,0_to_3,0back,3back,-0.001190,0.020909,-0.009636,0.007255,-0.0569,0.2194,-0.2903,7.739673e-01,3.403313e-01,8.807068e-01,NO
HbO,Parietal,2_to_3,2back,3back,-0.005545,0.011613,-0.010236,-0.000854,-0.4775,-0.5157,-2.4346,2.238209e-02,2.042863e-02,1.595626e-01,YES
HbO,WholeBrain,0_to_2,0back,2back,0.004156,0.010422,-0.000053,0.008366,0.3988,0.4872,2.0335,5.274284e-02,2.915090e-02,2.550413e-01,NO
HbO,WholeBrain,0_to_3,0back,3back,-0.002701,0.015254,-0.008862,0.003460,-0.1771,-0.1225,-0.9029,3.751854e-01,5.995474e-01,5.771413e-01,NO
HbO,WholeBrain,2_to_3,2back,3back,-0.006857,0.010451,-0.011079,-0.002636,-0.6562,-0.6752,-3.3458,2.594057e-03,1.779556e-03,4.970896e-02,YES
HbR,Central,0_to_2,0back,2back,-0.005619,0.011906,-0.010428,-0.000810,-0.4719,-0.4758,-2.4064,2.382759e-02,3.341016e-02,7.382098e-02,YES
HbR,Central,0_to_3,0back,3back,-0.002405,0.010522,-0.006655,0.001845,-0.2286,-0.2991,-1.1655,2.548090e-01,1.899041e-01,3.656674e-01,NO
HbR,Central,2_to_3,2back,3back,0.003214,0.008934,-0.000395,0.006822,0.3597,0.4017,1.8343,7.853915e-02,7.514903e-02,1.658327e-01,NO
HbR,Frontal,0_to_2,0back,2back,-0.003524,0.009412,-0.007325,0.000278,-0.3744,-0.3960,-1.9091,6.778743e-02,7.957256e-02,1.555123e-01,NO
HbR,Frontal,0_to_3,0back,3back,-0.005989,0.006814,-0.008741,-0.003237,-0.8789,-0.8006,-4.4817,1.428193e-04,1.258850e-04,2.152027e-03,YES
HbR,Frontal,2_to_3,2back,3back,-0.002465,0.008856,-0.006042,0.001112,-0.2783,-0.3162,-1.4193,1.681725e-01,1.650889e-01,2.680249e-01,NO
HbR,Occipital,0_to_2,0back,2back,-0.005595,0.017336,-0.012597,0.001407,-0.3228,-0.3390,-1.6457,1.123391e-01,1.357813e-01,2.003562e-01,NO
HbR,Occipital,0_to_3,0back,3back,-0.005811,0.015613,-0.012117,0.000495,-0.3722,-0.3675,-1.8978,6.933491e-02,1.048203e-01,1.568909e-01,NO
HbR,Occipital,2_to_3,2back,3back,-0.000216,0.012904,-0.005428,0.004996,-0.0167,0.0256,-0.0853,9.327325e-01,9.204554e-01,9.475244e-01,NO
HbR,Parietal,0_to_2,0back,2back,-0.004239,0.013828,-0.009825,0.001346,-0.3066,-0.3447,-1.5633,1.305629e-01,1.291008e-01,2.225275e-01,NO
HbR,Parietal,0_to_3,0back,3back,-0.005482,0.017922,-0.012721,0.001756,-0.3059,-0.2764,-1.5598,1.313797e-01,2.269585e-01,2.227743e-01,NO
HbR,Parietal,2_to_3,2back,3back,-0.001243,0.012801,-0.006413,0.003928,-0.0971,-0.0826,-0.4951,6.248761e-01,7.265400e-01,7.221278e-01,NO
HbR,WholeBrain,0_to_2,0back,2back,-0.004531,0.009509,-0.008371,-0.000690,-0.4765,-0.5328,-2.4295,2.263943e-02,1.633316e-02,7.190328e-02,YES
HbR,WholeBrain,0_to_3,0back,3back,-0.004907,0.007182,-0.007808,-0.002007,-0.6833,-0.6866,-3.4841,1.837178e-03,1.443923e-03,1.050042e-02,YES
HbR,WholeBrain,2_to_3,2back,3back,-0.000377,0.007527,-0.003417,0.002663,-0.0501,0.0028,-0.2553,8.005848e-01,1.000000e+00,8.630694e-01,NO
HbT,Central,0_to_2,0back,2back,0.001657,0.012090,-0.003227,0.006540,0.1370,0.1396,0.6988,4.911580e-01,5.482757e-01,6.714021e-01,NO
HbT,Central,0_to_3,0back,3back,-0.003100,0.017566,-0.010195,0.003995,-0.1765,-0.1168,-0.8998,3.767871e-01,6.170916e-01,5.782635e-01,NO
HbT,Central,2_to_3,2back,3back,-0.004757,0.013210,-0.010092,0.000579,-0.3601,-0.4302,-1.8361,7.826720e-02,5.585322e-02,3.203158e-01,NO
HbT,Frontal,0_to_2,0back,2back,0.003903,0.012907,-0.001310,0.009117,0.3024,0.2991,1.5419,1.356534e-01,1.899041e-01,3.712071e-01,NO
HbT,Frontal,0_to_3,0back,3back,-0.002536,0.015304,-0.008717,0.003646,-0.1657,-0.1396,-0.8449,4.062032e-01,5.482757e-01,6.020259e-01,NO
HbT,Frontal,2_to_3,2back,3back,-0.006439,0.011976,-0.011276,-0.001602,-0.5376,-0.5783,-2.7415,1.113276e-02,8.634657e-03,1.453242e-01,YES
HbT,Occipital,0_to_2,0back,2back,0.004228,0.015239,-0.001928,0.010383,0.2774,0.4473,1.4146,1.695305e-01,4.633117e-02,4.088204e-01,NO
HbT,Occipital,0_to_3,0back,3back,0.000581,0.020778,-0.007811,0.008973,0.0280,0.2251,0.1426,8.877854e-01,3.276410e-01,9.417046e-01,NO
HbT,Occipital,2_to_3,2back,3back,-0.003647,0.013422,-0.009068,0.001774,-0.2717,-0.3618,-1.3854,1.781650e-01,1.105343e-01,4.144680e-01,NO
HbT,Parietal,0_to_2,0back,2back,0.005475,0.016171,-0.001057,0.012007,0.3386,0.5897,1.7264,9.661623e-02,7.290900e-03,3.632230e-01,NO
HbT,Parietal,0_to_3,0back,3back,0.000391,0.021247,-0.008191,0.008973,0.0184,0.3675,0.0938,9.259852e-01,1.048203e-01,9.622698e-01,NO
HbT,Parietal,2_to_3,2back,3back,-0.005084,0.012518,-0.010140,-0.000028,-0.4061,-0.4302,-2.0709,4.883817e-02,5.585322e-02,2.611267e-01,YES
HbT,WholeBrain,0_to_2,0back,2back,0.003508,0.011597,-0.001176,0.008192,0.3025,0.3903,1.5424,1.355431e-01,8.419731e-02,3.712071e-01,NO
HbT,WholeBrain,0_to_3,0back,3back,-0.001848,0.015550,-0.008129,0.004433,-0.1188,0.0085,-0.6059,5.500348e-01,9.800839e-01,7.150453e-01,NO
HbT,WholeBrain,2_to_3,2back,3back,-0.005356,0.010900,-0.009759,-0.000953,-0.4913,-0.5897,-2.5053,1.911292e-02,7.290900e-03,1.815627e-01,YES
