chromophore,region,condition,n,mean,std,sem,median,q25,q75
HbO,Central,0back,26,0.113928,0.023161,0.004542,0.111797,0.097991,0.134876
HbO,Central,2back,26,0.115997,0.023676,0.004643,0.114665,0.096741,0.131875
HbO,Central,3back,26,0.110086,0.018973,0.003721,0.113159,0.094347,0.124733
HbO,Frontal,0back,26,0.106400,0.019780,0.003879,0.102219,0.093110,0.119688
HbO,Frontal,2back,26,0.111654,0.022967,0.004504,0.112126,0.094032,0.123476
HbO,Frontal,3back,26,0.103232,0.022099,0.004334,0.101729,0.088019,0.114596
HbO,Occipital,0back,26,0.126517,0.029654,0.005816,0.125725,0.108123,0.147901
HbO,Occipital,2back,26,0.131091,0.028057,0.005502,0.129888,0.107818,0.154709
HbO,Occipital,3back,26,0.125953,0.026316,0.005161,0.124926,0.110013,0.142647
HbO,Parietal,0back,26,0.117205,0.024300,0.004766,0.115775,0.098359,0.139071
HbO,Parietal,2back,26,0.121560,0.023905,0.004688,0.114735,0.104132,0.139359
HbO,Parietal,3back,26,0.116015,0.023063,0.004523,0.113242,0.106264,0.129739
HbO,WholeBrain,0back,26,0.113044,0.020363,0.003993,0.114612,0.095914,0.128868
HbO,WholeBrain,2back,26,0.117201,0.021987,0.004312,0.113833,0.097202,0.131729
HbO,WholeBrain,3back,26,0.110343,0.019947,0.003912,0.111506,0.095639,0.120150
HbR,Central,0back,26,0.126026,0.024913,0.004886,0.124005,0.117362,0.137157
HbR,Central,2back,26,0.120407,0.028077,0.005506,0.118600,0.105305,0.129219
HbR,Central,3back,26,0.123621,0.027035,0.005302,0.117432,0.110847,0.136639
HbR,Frontal,0back,26,0.084903,0.015730,0.003085,0.080471,0.072452,0.096428
HbR,Frontal,2back,26,0.081379,0.020872,0.004093,0.080760,0.064022,0.096025
HbR,Frontal,3back,26,0.078914,0.016388,0.003214,0.078166,0.067792,0.092741
HbR,Occipital,0back,26,0.169980,0.034975,0.006859,0.174354,0.148911,0.192814
HbR,Occipital,2back,26,0.164384,0.035222,0.006908,0.163504,0.144108,0.192488
HbR,Occipital,3back,26,0.164169,0.037762,0.007406,0.166617,0.133811,0.193334
HbR,Parietal,0back,26,0.144616,0.033769,0.006623,0.144900,0.121128,0.166034
HbR,Parietal,2back,26,0.140377,0.036047,0.007069,0.135928,0.118608,0.166029
HbR,Parietal,3back,26,0.139134,0.032389,0.006352,0.138972,0.111754,0.159171
HbR,WholeBrain,0back,26,0.117140,0.017298,0.003392,0.117598,0.108001,0.130964
HbR,WholeBrain,2back,26,0.112610,0.021234,0.004164,0.113057,0.100358,0.126485
HbR,WholeBrain,3back,26,0.112233,0.018070,0.003544,0.116234,0.103576,0.121615
HbT,Central,0back,26,0.113206,0.024548,0.004814,0.111002,0.094899,0.137514
HbT,Central,2back,26,0.114863,0.024302,0.004766,0.116391,0.092706,0.131510
HbT,Central,3back,26,0.110106,0.020860,0.004091,0.110997,0.093890,0.125439
HbT,Frontal,0back,26,0.109689,0.021596,0.004235,0.105481,0.095716,0.123982
HbT,Frontal,2back,26,0.113592,0.025963,0.005092,0.113626,0.096348,0.123242
HbT,Frontal,3back,26,0.107153,0.023814,0.004670,0.104466,0.095174,0.117525
HbT,Occipital,0back,26,0.121548,0.028166,0.005524,0.119746,0.102392,0.141002
HbT,Occipital,2back,26,0.125776,0.027771,0.005446,0.121347,0.108340,0.147030
HbT,Occipital,3back,26,0.122129,0.025938,0.005087,0.120552,0.107183,0.137750
HbT,Parietal,0back,26,0.115515,0.025366,0.004975,0.115022,0.092747,0.139800
HbT,Parietal,2back,26,0.120990,0.026383,0.005174,0.115939,0.102640,0.140211
HbT,Parietal,3back,26,0.115906,0.024508,0.004806,0.113976,0.104480,0.131494
HbT,WholeBrain,0back,26,0.113290,0.022066,0.004327,0.112198,0.094622,0.134384
HbT,WholeBrain,2back,26,0.116798,0.023928,0.004693,0.112495,0.096273,0.129750
HbT,WholeBrain,3back,26,0.111442,0.021225,0.004162,0.111899,0.095125,0.121704
