chromophore,region,measure,contrast,cond_A,cond_B,mean_contrast,sd_contrast,ci95_low,ci95_high,paired_dz,rank_biserial,t_stat,t_p_value,wilcoxon_p,significant_p05
HbO,Central,entropy__sample_entropy,0_to_2,0back,2back,0.002070,0.011543,-0.002592,0.006732,0.1793,0.1738,0.9143,3.692684e-01,4.524725e-01,NO
HbO,Central,entropy__sample_entropy,0_to_3,0back,3back,-0.003842,0.015623,-0.010152,0.002469,-0.2459,-0.2080,-1.2538,2.215110e-01,3.666093e-01,NO
HbO,Central,entropy__sample_entropy,2_to_3,2back,3back,-0.005911,0.013343,-0.011301,-0.000522,-0.4430,-0.4758,-2.2591,3.284824e-02,3.341016e-02,YES
HbO,Central,entropy__mse,0_to_2,0back,2back,0.002718,0.022130,-0.006221,0.011656,0.1228,0.1111,0.6262,5.368769e-01,6.348496e-01,NO
HbO,Central,entropy__mse,0_to_3,0back,3back,-0.007252,0.028590,-0.018800,0.004295,-0.2537,-0.2080,-1.2935,2.076745e-01,3.666093e-01,NO
HbO,Central,entropy__mse,2_to_3,2back,3back,-0.009970,0.023679,-0.019534,-0.000406,-0.4211,-0.4473,-2.1470,4.168433e-02,4.633117e-02,YES
HbO,Central,sensitivity__mse__scale1,0_to_2,0back,2back,0.002070,0.011543,-0.002592,0.006732,0.1793,0.1738,0.9143,3.692684e-01,4.524725e-01,NO
HbO,Central,sensitivity__mse__scale1,0_to_3,0back,3back,-0.003842,0.015623,-0.010152,0.002469,-0.2459,-0.2080,-1.2538,2.215110e-01,3.666093e-01,NO
HbO,Central,sensitivity__mse__scale1,2_to_3,2back,3back,-0.005911,0.013343,-0.011301,-0.000522,-0.4430,-0.4758,-2.2591,3.284824e-02,3.341016e-02,YES
HbO,Central,sensitivity__mse__scale2,0_to_2,0back,2back,0.001454,0.021220,-0.007117,0.010025,0.0685,0.0370,0.3494,7.297154e-01,8.809218e-01,NO
HbO,Central,sensitivity__mse__scale2,0_to_3,0back,3back,-0.008384,0.028325,-0.019825,0.003057,-0.2960,-0.3048,-1.5093,1.437672e-01,1.813544e-01,NO
HbO,Central,sensitivity__mse__scale2,2_to_3,2back,3back,-0.009838,0.023044,-0.019146,-0.000530,-0.4269,-0.4530,-2.1769,3.913691e-02,4.346645e-02,YES
HbO,Central,sensitivity__mse__scale3,0_to_2,0back,2back,0.002307,0.025388,-0.007947,0.012561,0.0909,0.0940,0.4634,6.470957e-01,6.893201e-01,NO
HbO,Central,sensitivity__mse__scale3,0_to_3,0back,3back,-0.008621,0.031574,-0.021374,0.004132,-0.2731,-0.2877,-1.3923,1.760931e-01,2.078540e-01,NO
HbO,Central,sensitivity__mse__scale3,2_to_3,2back,3back,-0.010928,0.025922,-0.021399,-0.000458,-0.4216,-0.4416,-2.1497,4.144849e-02,4.934686e-02,YES
HbO,Central,sensitivity__mse__scale4,0_to_2,0back,2back,0.005039,0.031425,-0.007654,0.017732,0.1604,0.1795,0.8177,4.212630e-01,4.374467e-01,NO
HbO,Central,sensitivity__mse__scale4,0_to_3,0back,3back,-0.008163,0.039500,-0.024118,0.007791,-0.2067,-0.1510,-1.0538,3.020692e-01,5.153008e-01,NO
HbO,Central,sensitivity__mse__scale4,2_to_3,2back,3back,-0.013203,0.033150,-0.026592,0.000187,-0.3983,-0.4017,-2.0308,5.304212e-02,7.514903e-02,NO
HbO,Frontal,entropy__sample_entropy,0_to_2,0back,2back,0.005254,0.012412,0.000241,0.010268,0.4233,0.4359,2.1584,4.069781e-02,5.251908e-02,YES
HbO,Frontal,entropy__sample_entropy,0_to_3,0back,3back,-0.003168,0.016508,-0.009835,0.003500,-0.1919,-0.1909,-0.9784,3.372451e-01,4.082431e-01,NO
