chromophore,region,measure,condition,n,mean,std,sem,median,q25,q75
HbO,Central,sample_entropy,0back,26,0.113928,0.023161,0.004542,0.111797,0.097991,0.134876
HbO,Central,sample_entropy,2back,26,0.115997,0.023676,0.004643,0.114665,0.096741,0.131875
HbO,Central,sample_entropy,3back,26,0.110086,0.018973,0.003721,0.113159,0.094347,0.124733
HbO,Central,mse,0back,26,0.252894,0.039682,0.007782,0.252758,0.224579,0.289624
HbO,Central,mse,2back,26,0.255612,0.038884,0.007626,0.260792,0.222339,0.276051
HbO,Central,mse,3back,26,0.245642,0.031833,0.006243,0.253742,0.217381,0.269714
HbO,Central,scale1,0back,26,0.113928,0.023161,0.004542,0.111797,0.097991,0.134876
HbO,Central,scale1,2back,26,0.115997,0.023676,0.004643,0.114665,0.096741,0.131875
HbO,Central,scale1,3back,26,0.110086,0.018973,0.003721,0.113159,0.094347,0.124733
HbO,Central,scale2,0back,26,0.233310,0.038587,0.007567,0.237373,0.203924,0.269174
HbO,Central,scale2,2back,26,0.234764,0.037165,0.007289,0.240714,0.201103,0.259818
HbO,Central,scale2,3back,26,0.224926,0.031130,0.006105,0.231446,0.197753,0.244984
HbO,Central,scale3,0back,26,0.301789,0.043272,0.008486,0.304356,0.269480,0.340395
HbO,Central,scale3,2back,26,0.304096,0.042121,0.008261,0.311662,0.266535,0.324011
HbO,Central,scale3,3back,26,0.293167,0.034756,0.006816,0.301342,0.262398,0.317689
HbO,Central,scale4,0back,26,0.362551,0.054062,0.010603,0.357505,0.326571,0.411572
HbO,Central,scale4,2back,26,0.367591,0.053179,0.010429,0.372472,0.323272,0.395450
HbO,Central,scale4,3back,26,0.354388,0.042912,0.008416,0.367575,0.315430,0.389752
HbO,Frontal,sample_entropy,0back,26,0.106400,0.019780,0.003879,0.102219,0.093110,0.119688
HbO,Frontal,sample_entropy,2back,26,0.111654,0.022967,0.004504,0.112126,0.094032,0.123476
HbO,Frontal,sample_entropy,3back,26,0.103232,0.022099,0.004334,0.101729,0.088019,0.114596
HbO,Frontal,mse,0back,26,0.238874,0.034781,0.006821,0.233213,0.213826,0.261528
HbO,Frontal,mse,2back,26,0.246375,0.040454,0.007934,0.248963,0.215742,0.265560
HbO,Frontal,mse,3back,26,0.232313,0.039854,0.007816,0.232030,0.203581,0.249935
HbO,Frontal,scale1,0back,26,0.106400,0.019780,0.003879,0.102219,0.093110,0.119688
HbO,Frontal,scale1,2back,26,0.111654,0.022967,0.004504,0.112126,0.094032,0.123476
HbO,Frontal,scale1,3back,26,0.103232,0.022099,0.004334,0.101729,0.088019,0.114596
HbO,Frontal,scale2,0back,26,0.217685,0.033302,0.006531,0.214428,0.191102,0.239911
HbO,Frontal,scale2,2back,26,0.224763,0.037970,0.007447,0.230859,0.195822,0.244637
HbO,Frontal,scale2,3back,26,0.209961,0.037748,0.007403,0.208525,0.180238,0.229900
HbO,Frontal,scale3,0back,26,0.285171,0.038274,0.007506,0.279880,0.258302,0.312132
HbO,Frontal,scale3,2back,26,0.293364,0.045310,0.008886,0.297299,0.258855,0.315758
HbO,Frontal,scale3,3back,26,0.277592,0.044610,0.008749,0.278343,0.242856,0.296480
HbO,Frontal,scale4,0back,26,0.346241,0.048080,0.009429,0.336185,0.314009,0.378015
HbO,Frontal,scale4,2back,26,0.355719,0.055998,0.010982,0.356893,0.314593,0.381301
HbO,Frontal,scale4,3back,26,0.338467,0.055404,0.010866,0.339473,0.302423,0.362519
HbO,Occipital,sample_entropy,0back,26,0.126517,0.029654,0.005816,0.125725,0.108123,0.147901
HbO,Occipital,sample_entropy,2back,26,0.131091,0.028057,0.005502,0.129888,0.107818,0.154709
HbO,Occipital,sample_entropy,3back,26,0.125953,0.026316,0.005161,0.124926,0.110013,0.142647
HbO,Occipital,mse,0back,26,0.271693,0.046166,0.009054,0.275044,0.242800,0.307296
HbO,Occipital,mse,2back,26,0.279197,0.044371,0.008702,0.282885,0.246646,0.316714
HbO,Occipital,mse,3back,26,0.270770,0.042824,0.008399,0.273228,0.249250,0.297851
HbO,Occipital,scale1,0back,26,0.126517,0.029654,0.005816,0.125725,0.108123,0.147901
HbO,Occipital,scale1,2back,26,0.131091,0.028057,0.005502,0.129888,0.107818,0.154709
HbO,Occipital,scale1,3back,26,0.125953,0.026316,0.005161,0.124926,0.110013,0.142647
HbO,Occipital,scale2,0back,26,0.251092,0.045740,0.008970,0.254075,0.223877,0.281862
HbO,Occipital,scale2,2back,26,0.257754,0.041990,0.008235,0.262374,0.227504,0.290890
HbO,Occipital,scale2,3back,26,0.248729,0.041011,0.008043,0.252841,0.232573,0.273711
HbO,Occipital,scale3,0back,26,0.321063,0.049465,0.009701,0.326379,0.289646,0.358633
HbO,Occipital,scale3,2back,26,0.330071,0.048247,0.009462,0.333398,0.296004,0.373331
HbO,Occipital,scale3,3back,26,0.319998,0.046869,0.009192,0.321593,0.296296,0.349264
HbO,Occipital,scale4,0back,26,0.388100,0.060389,0.011843,0.394868,0.348596,0.435423
HbO,Occipital,scale4,2back,26,0.397872,0.059790,0.011726,0.402484,0.355348,0.446293
HbO,Occipital,scale4,3back,26,0.388397,0.057718,0.011320,0.392633,0.359863,0.427529
HbO,Parietal,sample_entropy,0back,26,0.117205,0.024300,0.004766,0.115775,0.098359,0.139071
HbO,Parietal,sample_entropy,2back,26,0.121560,0.023905,0.004688,0.114735,0.104132,0.139359
HbO,Parietal,sample_entropy,3back,26,0.116015,0.023063,0.004523,0.113242,0.106264,0.129739
HbO,Parietal,mse,0back,26,0.257081,0.040385,0.007920,0.259480,0.225238,0.286634
HbO,Parietal,mse,2back,26,0.266147,0.039746,0.007795,0.259205,0.241388,0.290662
HbO,Parietal,mse,3back,26,0.255649,0.040692,0.007980,0.251509,0.236760,0.286208
HbO,Parietal,scale1,0back,26,0.117205,0.024300,0.004766,0.115775,0.098359,0.139071
HbO,Parietal,scale1,2back,26,0.121560,0.023905,0.004688,0.114735,0.104132,0.139359
HbO,Parietal,scale1,3back,26,0.116015,0.023063,0.004523,0.113242,0.106264,0.129739
HbO,Parietal,scale2,0back,26,0.237519,0.038994,0.007647,0.242743,0.208555,0.263558
HbO,Parietal,scale2,2back,26,0.245189,0.037291,0.007313,0.239675,0.220503,0.270209
HbO,Parietal,scale2,3back,26,0.234858,0.038814,0.007612,0.231384,0.218088,0.265413
HbO,Parietal,scale3,0back,26,0.305708,0.044096,0.008648,0.310553,0.272332,0.335076
HbO,Parietal,scale3,2back,26,0.315417,0.043657,0.008562,0.308389,0.290056,0.340297
HbO,Parietal,scale3,3back,26,0.304373,0.045641,0.008951,0.299647,0.283751,0.334995
HbO,Parietal,scale4,0back,26,0.367894,0.054864,0.010760,0.371749,0.325773,0.400827
HbO,Parietal,scale4,2back,26,0.382423,0.054954,0.010777,0.373662,0.350655,0.413381
HbO,Parietal,scale4,3back,26,0.367352,0.056026,0.010988,0.365622,0.339225,0.407508
HbO,WholeBrain,sample_entropy,0back,26,0.113044,0.020363,0.003993,0.114612,0.095914,0.128868
HbO,WholeBrain,sample_entropy,2back,26,0.117201,0.021987,0.004312,0.113833,0.097202,0.131729
HbO,WholeBrain,sample_entropy,3back,26,0.110343,0.019947,0.003912,0.111506,0.095639,0.120150
HbO,WholeBrain,mse,0back,26,0.250262,0.034375,0.006741,0.251876,0.221774,0.272795
HbO,WholeBrain,mse,2back,26,0.256608,0.036773,0.007212,0.253986,0.223669,0.278933
HbO,WholeBrain,mse,3back,26,0.245018,0.034552,0.006776,0.249414,0.218518,0.262343
HbO,WholeBrain,scale1,0back,26,0.113044,0.020363,0.003993,0.114612,0.095914,0.128868
HbO,WholeBrain,scale1,2back,26,0.117201,0.021987,0.004312,0.113833,0.097202,0.131729
HbO,WholeBrain,scale1,3back,26,0.110343,0.019947,0.003912,0.111506,0.095639,0.120150
HbO,WholeBrain,scale2,0back,26,0.229797,0.033269,0.006525,0.233262,0.203183,0.252586
HbO,WholeBrain,scale2,2back,26,0.235309,0.034658,0.006797,0.234203,0.202719,0.255779
HbO,WholeBrain,scale2,3back,26,0.223346,0.032808,0.006434,0.232251,0.197450,0.239563
HbO,WholeBrain,scale3,0back,26,0.298051,0.037347,0.007324,0.300407,0.266973,0.321689
HbO,WholeBrain,scale3,2back,26,0.304913,0.040397,0.007922,0.302555,0.268354,0.330397
HbO,WholeBrain,scale3,3back,26,0.291962,0.038296,0.007510,0.298489,0.263029,0.312210
HbO,WholeBrain,scale4,0back,26,0.360154,0.046749,0.009168,0.360584,0.320202,0.389750
HbO,WholeBrain,scale4,2back,26,0.369009,0.050406,0.009885,0.364630,0.325875,0.398289
HbO,WholeBrain,scale4,3back,26,0.354421,0.047479,0.009311,0.359930,0.317729,0.379329
HbR,Central,sample_entropy,0back,26,0.126026,0.024913,0.004886,0.124005,0.117362,0.137157
HbR,Central,sample_entropy,2back,26,0.120407,0.028077,0.005506,0.118600,0.105305,0.129219
HbR,Central,sample_entropy,3back,26,0.123621,0.027035,0.005302,0.117432,0.110847,0.136639
HbR,Central,mse,0back,26,0.267894,0.040178,0.007880,0.268689,0.255368,0.285834
HbR,Central,mse,2back,26,0.257699,0.046008,0.009023,0.258369,0.236500,0.275641
HbR,Central,mse,3back,26,0.263660,0.043598,0.008550,0.256470,0.243675,0.276084
HbR,Central,scale1,0back,26,0.126026,0.024913,0.004886,0.124005,0.117362,0.137157
HbR,Central,scale1,2back,26,0.120407,0.028077,0.005506,0.118600,0.105305,0.129219
HbR,Central,scale1,3back,26,0.123621,0.027035,0.005302,0.117432,0.110847,0.136639
HbR,Central,scale2,0back,26,0.241697,0.038053,0.007463,0.244529,0.227673,0.259335
HbR,Central,scale2,2back,26,0.231373,0.043737,0.008577,0.233596,0.211276,0.253094
HbR,Central,scale2,3back,26,0.237269,0.041267,0.008093,0.234394,0.216553,0.251608
HbR,Central,scale3,0back,26,0.315123,0.044270,0.008682,0.315957,0.300837,0.335683
HbR,Central,scale3,2back,26,0.304251,0.050690,0.009941,0.307387,0.281696,0.325489
HbR,Central,scale3,3back,26,0.310921,0.048190,0.009451,0.305973,0.289051,0.324255
HbR,Central,scale4,0back,26,0.388728,0.054067,0.010603,0.391973,0.371899,0.415021
HbR,Central,scale4,2back,26,0.374763,0.061885,0.012137,0.373272,0.345101,0.398872
HbR,Central,scale4,3back,26,0.382827,0.058325,0.011439,0.370907,0.359583,0.402702
HbR,Frontal,sample_entropy,0back,26,0.084903,0.015730,0.003085,0.080471,0.072452,0.096428
HbR,Frontal,sample_entropy,2back,26,0.081379,0.020872,0.004093,0.080760,0.064022,0.096025
HbR,Frontal,sample_entropy,3back,26,0.078914,0.016388,0.003214,0.078166,0.067792,0.092741
